year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,unemployed,below_poverty,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_home_value,med_gross_rent,med_year_built,household_size,occupied_housing,renter_occupied,owner_occupied,mortgaged_housing,predominant_heat,gas_heat,electric_heat,no_heat
2005,Maine,ME,New England,Northeast,1283673,626454,657219,41.2,high school graduate (includes equivalency),230337,42801,NA,160627,62142,NA,NA,NA,NA,NA,NA,683799,155300,623,1969,2.368,0.7928616450155674,0.28212255467963215,0.7178774453203679,0.3630730667930196,"fuel oil, kerosene, etc.",0.03304018385784218,0.049275303509309094,0.0014276281084112013
2005,Maryland,MD,South Atlantic,South,5461318,2630426,2830892,37.1,bachelor's degree or higher,1237960,61592,NA,448038,98598,NA,NA,NA,NA,NA,NA,2273793,280200,891,1973,2.619,0.91725456099126,0.3102313095169029,0.6897686904830971,0.48389717093860346,utility gas,0.4554466791360187,0.35640259353572296,0.002507135675404323
2005,Massachusetts,MA,New England,Northeast,6182860,2998038,3184822,38.2,bachelor's degree or higher,1564158,57184,NA,637043,130036,NA,NA,NA,NA,NA,NA,2688014,361500,902,1956,2.526,0.91072144713532,0.35953247343171985,0.6404675265682801,0.41988881010292356,utility gas,0.46654128704199943,0.12759432883230284,0.0028888511261290703
2005,Michigan,MI,East North Central,North Central,9865583,4824431,5041152,36.9,high school graduate (includes equivalency),1591506,46039,NA,1299688,354306,NA,NA,NA,NA,NA,NA,4478507,149300,655,1967,2.537,0.8681451206841923,0.25325810687979455,0.7467418931202054,0.44795106940772894,utility gas,0.7769003758750657,0.0724818505378352,0.002592853795556269
2005,Minnesota,MN,West North Central,North Central,4989848,2476815,2513033,36.7,some college or associate's degree,1010858,52024,NA,456642,103848,NA,NA,NA,NA,NA,NA,2252022,198800,692,1972,2.47,0.8970356417477272,0.24230203391441402,0.7576979660855859,0.4850103595790805,utility gas,0.6736811831235793,0.13381125305918787,0.005220914944677211
2005,Mississippi,MS,East South Central,South,2824156,1358126,1466030,35.5,high school graduate (includes equivalency),335560,32938,NA,600288,163851,NA,NA,NA,NA,NA,NA,1235496,82700,538,1978,2.605,0.8774079398071706,0.30127099334522717,0.6987290066547728,0.3514491345985742,electricity,0.3467677213076343,0.4604228280662784,0.0020617434508511724
2005,Missouri,MO,West North Central,North Central,5631910,2746587,2885323,37.4,high school graduate (includes equivalency),894485,41974,NA,748023,234902,NA,NA,NA,NA,NA,NA,2592809,123100,593,1972,2.464,0.8813915718435102,0.29364585521249037,0.7063541447875096,0.4129795137243044,utility gas,0.5648340684730099,0.2700067387803683,0.0015162255828607436
2005,Montana,MT,Mountain,West,910651,452391,458260,40.2,some college or associate's degree,163909,39301,NA,130441,30032,NA,NA,NA,NA,NA,NA,428357,131600,552,1972,2.473,0.8597221476478731,0.30904124170441094,0.6909587582955891,0.3519120733406948,utility gas,0.5874634776847296,0.1659552282576819,0.002576927672238696
2005,Nebraska,NE,West North Central,North Central,1706976,844899,862077,36.2,some college or associate's degree,302828,43849,NA,186178,46226,NA,NA,NA,NA,NA,NA,766951,113200,569,1967,2.454,0.9069575500912053,0.31758559615406734,0.6824144038459327,0.3914722061774481,utility gas,0.6618103715971432,0.21108925922092261,0.002071616694844104
2005,Nevada,NV,Mountain,West,2381281,1204079,1177202,35.2,some college or associate's degree,320972,49169,NA,262092,38595,NA,NA,NA,NA,NA,NA,1019427,283400,861,1990,2.626,0.8894398519952875,0.39327950555795127,0.6067204944420488,0.4193061396254955,utility gas,0.6023089843711227,0.3265476955925706,0.002421919028938403
2005,New Hampshire,NH,New England,Northeast,1272486,628494,643992,39.5,bachelor's degree or higher,276087,56768,NA,95090,24214,NA,NA,NA,NA,NA,NA,583324,240100,854,1973,2.56,0.8521062051278535,0.26999078570939977,0.7300092142906002,0.4370435641255974,"fuel oil, kerosene, etc.",0.19055072487093958,0.07707412071927798,0.001828775143143401
