year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,unemployed,below_poverty,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_home_value,med_gross_rent,med_year_built,household_size,occupied_housing,renter_occupied,owner_occupied,mortgaged_housing,predominant_heat,gas_heat,electric_heat,no_heat
2019,Michigan,MI,East North Central,North Central,9986857,4915905,5070952,39.8,some college or associate's degree,2070795,59584,250252,1269062,463622,0.4634,1527707,8351779,1027632,1988482,2154345,4629605,169600,888,1971,2.516,0.8574986418927749,0.2843121202656,0.7156878797344001,0.36402263260040546,utility gas,0.7635036827309641,0.10171138674216854,0.004481747559120175
2019,Minnesota,MN,West North Central,North Central,5639632,2804216,2835416,38.4,bachelor's degree or higher,1433226,74593,98727,494683,163554,0.4434,858768,4722060,659623,955203,962811,2477515,246700,1016,1977,2.537,0.8970956785327233,0.28083370227592586,0.7191662977240741,0.42024851514521605,utility gas,0.6619307035825226,0.1733076333322535,0.0068956270404325086
2019,Mississippi,MS,East South Central,South,2976149,1434957,1541192,38.3,some college or associate's degree,441751,45792,87817,564192,148478,0.4896,372640,2531969,278626,573317,696670,1339047,128200,777,1984,2.705,0.821650771033429,0.32682105270811806,0.673178947291882,0.27178807017229417,electricity,0.28855083805280535,0.5801274098392244,0.0030348227505364793
2019,Missouri,MO,West North Central,North Central,6137428,3008169,3129259,38.9,high school graduate (includes equivalency),1271281,57409,116062,770175,250422,0.4633,852357,5168308,625059,1176229,874224,2819334,168000,834,1977,2.497,0.8719566394049091,0.32880683161014945,0.6711931683898505,0.35244884075458954,utility gas,0.49859030718733843,0.3713233783651306,0.0030386395355884895
2019,Montana,MT,Mountain,West,1068778,537170,531608,40.5,bachelor's degree or higher,249148,57153,22004,131882,37993,0.4597,182591,871055,144390,224014,221675,519938,253600,831,1979,2.442,0.8417368993995438,0.3111954502560259,0.6888045497439741,0.3210767437656028,utility gas,0.5152553061686138,0.2617108152386262,0.0022278025184450626
2019,Nebraska,NE,West North Central,North Central,1934408,966650,967758,36.8,bachelor's degree or higher,422587,63229,34133,185761,58895,0.44,349610,1554601,280734,325697,243877,851167,172700,859,1973,2.508,0.906336829317866,0.33712622043855417,0.6628737795614458,0.3574398443548681,utility gas,0.5918627923737821,0.30573444086673823,0.004644536738894852
2019,Nevada,NV,Mountain,West,3080156,1544779,1535377,38.4,some college or associate's degree,548919,63276,79000,379564,120299,0.471,506894,2536525,399141,531159,542869,1285681,317800,1168,1994,2.693,0.8894562492562308,0.4337684960172514,0.5662315039827486,0.33936956367870413,utility gas,0.5809837200944072,0.36125440183567586,0.005345601487289221
2019,New Hampshire,NH,New England,Northeast,1359711,672960,686751,43,bachelor's degree or higher,368237,77933,22609,95711,32684,0.4406,187388,1155949,133392,271114,177009,642298,281400,1147,1977,2.511,0.8429046953283367,0.29041588781594246,0.7095841121840575,0.3883695730019399,"fuel oil, kerosene, etc.",0.21287190891694804,0.09948540439899814,0.009752565589697745
2019,New Jersey,NJ,Middle Atlantic,Northeast,8882190,4342591,4539599,40.2,bachelor's degree or higher,2551765,85751,220476,798262,244110,0.4782,1398649,7377327,1039207,1540209,1451689,3641854,348800,1376,1968,2.703,0.9023601714950682,0.36651528909424197,0.633484710905758,0.37516083840812947,utility gas,0.7529203375017953,0.13635970816708579,0.0062377824788270204
2019,New Mexico,NM,Mountain,West,2096829,1036708,1060121,38.6,some college or associate's degree,394598,51945,52489,373230,130113,0.4768,297671,1761247,214510,421672,688184,948470,180900,847,1983,2.643,0.8365261948190243,0.3193365430667238,0.6806634569332762,0.30119455544192225,utility gas,0.6177497416248645,0.22637316931763757,0.0025875324544377505
