year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2007,Alabama,AL,East South Central,South,4627851,2238295,2389556,37.3,high school graduate (includes equivalency),651409,40554,115600,601,NA,759835,783099,177891,0.471,NA,NA,NA,NA,NA,2137012,1978,2.548,1816313,1287825,528488,electricity,612817,997509,4500
2007,Alaska,AK,Pacific,West,683478,357280,326198,33.3,some college or associate's degree,109607,64333,231300,918,NA,59625,106434,17462,0.409,NA,NA,NA,NA,NA,282271,1981,2.891,236421,149018,87403,utility gas,115521,22230,577
2007,Arizona,AZ,Mountain,West,6338755,3173292,3165463,34.9,some college or associate's degree,1032587,49889,237700,819,NA,881257,1088152,155043,0.448,NA,NA,NA,NA,NA,2667550,1986,2.815,2251546,1533145,718401,electricity,831036,1267204,19988
2007,Arkansas,AR,West South Central,South,2834797,1387235,1447562,37,high school graduate (includes equivalency),360240,38134,101000,573,NA,492052,444022,131688,0.462,NA,NA,NA,NA,NA,1287472,1979,2.571,1102734,746839,355895,utility gas,493559,448655,1644
2007,California,CA,Pacific,West,36553215,18281748,18271467,34.7,bachelor's degree or higher,6883524,59948,532300,1078,NA,4433014,5381874,525622,0.469,NA,NA,NA,NA,NA,13308705,1973,2.996,12200672,7076972,5123700,utility gas,8293562,2872138,336063
2007,Colorado,CO,Mountain,West,4861515,2451108,2410407,35.7,bachelor's degree or higher,1121268,55212,233900,788,NA,569386,982672,91624,0.452,NA,NA,NA,NA,NA,2127358,1979,2.614,1859965,1280207,579758,utility gas,1410418,293333,5233
2007,Connecticut,CT,New England,Northeast,3502309,1706150,1796159,39.1,bachelor's degree or higher,817740,65967,309200,931,NA,268880,664729,74637,0.481,NA,NA,NA,NA,NA,1438548,1962,2.652,1320714,924839,395875,"fuel oil, kerosene, etc.",412066,193637,1960
2007,Delaware,DE,South Atlantic,South,864764,418659,446105,37.8,high school graduate (includes equivalency),149873,54610,239700,910,NA,87956,169331,23266,0.435,NA,NA,NA,NA,NA,388619,1978,2.633,328477,238141,90336,utility gas,128613,98807,590
2007,Florida,FL,South Atlantic,South,18251243,8964955,9286288,40,high school graduate (includes equivalency),3242444,47804,230400,925,NA,2158832,3288932,412606,0.469,NA,NA,NA,NA,NA,8716601,1983,2.575,7088960,5005708,2083252,electricity,344016,6458841,120226
2007,Georgia,GA,South Atlantic,South,9544750,4698253,4846497,34.8,high school graduate (includes equivalency),1644696,49136,164500,768,NA,1323828,1700521,271505,0.464,NA,NA,NA,NA,NA,3961643,1985,2.793,3417115,2341965,1075150,electricity,1525502,1587462,7814
2007,Hawaii,HI,Pacific,West,1283388,645483,637905,38.1,some college or associate's degree,255364,63746,555400,1194,NA,100051,176777,26917,0.422,NA,NA,NA,NA,NA,506751,1975,2.919,439685,261918,177767,no fuel used,10129,155433,261178
2007,Idaho,ID,Mountain,West,1499402,752500,746902,34.3,some college or associate's degree,231462,46253,178100,654,NA,177806,282602,34588,0.436,NA,NA,NA,NA,NA,631022,1979,2.675,560567,403904,156663,utility gas,280118,181512,1377
2007,Illinois,IL,East North Central,North Central,12852548,6332498,6520050,35.9,bachelor's degree or higher,2461837,54124,208800,783,NA,1496248,2338188,382846,0.466,NA,NA,NA,NA,NA,5246116,1965,2.7,4759579,3334539,1425040,utility gas,3859748,623245,13585
2007,Indiana,IN,East North Central,North Central,6345289,3125322,3219967,36.5,high school graduate (includes equivalency),914471,47448,122900,638,NA,757813,1254080,204735,0.429,NA,NA,NA,NA,NA,2777953,1970,2.577,2462278,1763734,698544,utility gas,1558076,599631,5033
2007,Iowa,IA,West North Central,North Central,2988047,1474159,1513888,38,high school graduate (includes equivalency),479617,47292,117900,567,NA,317946,567802,98407,0.426,NA,NA,NA,NA,NA,1329388,1964,2.461,1214353,894841,319512,utility gas,801477,191177,4007
2007,Kansas,KS,West North Central,North Central,2775997,1373442,1402555,36.3,high school graduate (includes equivalency),515602,47451,121200,623,NA,300210,499877,68388,0.444,NA,NA,NA,NA,NA,1219100,1970,2.55,1088835,763887,324948,utility gas,770316,203217,924
2007,Kentucky,KY,East South Central,South,4241474,2075382,2166092,37.4,high school graduate (includes equivalency),568138,40267,114300,563,NA,714080,730011,205888,0.465,NA,NA,NA,NA,NA,1906198,1976,2.562,1655767,1170947,484820,electricity,696522,745379,2895
2007,Louisiana,LA,West South Central,South,4293204,2088309,2204895,35.7,high school graduate (includes equivalency),559289,40926,126800,651,NA,775425,619067,193696,0.478,NA,NA,NA,NA,NA,1858586,1976,2.688,1597111,1085054,512057,electricity,634121,882390,2642
2007,Maine,ME,New England,Northeast,1317207,642050,675157,41.7,high school graduate (includes equivalency),246687,45888,176000,650,NA,154224,265921,66779,0.44,NA,NA,NA,NA,NA,696681,1970,2.422,543952,402257,141695,"fuel oil, kerosene, etc.",19181,20909,982
2007,Maryland,MD,South Atlantic,South,5618344,2715986,2902358,37.4,bachelor's degree or higher,1308931,68080,347000,1000,NA,453699,1122941,101626,0.442,NA,NA,NA,NA,NA,2318430,1974,2.698,2082458,1456103,626355,utility gas,935346,775691,5712
2007,Massachusetts,MA,New England,Northeast,6449755,3127452,3322303,38.5,bachelor's degree or higher,1655968,62365,366400,946,NA,621286,1148804,161642,0.467,NA,NA,NA,NA,NA,2722323,1956,2.633,2449133,1594159,854974,utility gas,1141307,326266,4303
2007,Michigan,MI,East North Central,North Central,10071822,4958632,5113190,37.6,high school graduate (includes equivalency),1643452,47950,153100,683,NA,1376658,1994826,399598,0.448,NA,NA,NA,NA,NA,4526914,1968,2.617,3849007,2880401,968606,utility gas,3010094,265386,10452
2007,Minnesota,MN,West North Central,North Central,5197621,2589986,2607635,37.1,some college or associate's degree,1061464,55802,213600,711,NA,481947,1110929,104058,0.436,NA,NA,NA,NA,NA,2304473,1973,2.52,2062681,1551989,510692,utility gas,1397188,278703,11360
2007,Mississippi,MS,East South Central,South,2918785,1413634,1505151,35.4,high school graduate (includes equivalency),347470,36338,96000,609,NA,581534,441761,136089,0.48,NA,NA,NA,NA,NA,1254936,1979,2.702,1080039,769923,310116,electricity,370252,509161,2491
2007,Missouri,MO,West North Central,North Central,5878415,2865354,3013061,37.5,high school graduate (includes equivalency),952215,45114,138600,618,NA,742486,1102212,233610,0.45,NA,NA,NA,NA,NA,2647379,1973,2.545,2309626,1632012,677614,utility gas,1269641,684561,4388
2007,Montana,MT,Mountain,West,957861,478877,478984,39.1,high school graduate (includes equivalency),172811,43531,170000,579,NA,131790,151686,26878,0.443,NA,NA,NA,NA,NA,435586,1973,2.575,371954,258965,112989,utility gas,215892,66054,369
2007,Nebraska,NE,West North Central,North Central,1774571,879144,895427,36.1,some college or associate's degree,313616,47085,122200,614,NA,192822,310618,48700,0.429,NA,NA,NA,NA,NA,780592,1968,2.536,699728,481154,218574,utility gas,462545,153299,1606
2007,Nevada,NV,Mountain,West,2565382,1301954,1263428,35.7,some college or associate's degree,367078,55062,311300,980,NA,269953,445322,37815,0.437,NA,NA,NA,NA,NA,1102409,1992,2.689,954067,576376,377691,utility gas,611637,284650,2021
2007,New Hampshire,NH,New England,Northeast,1315828,647176,668652,39.8,bachelor's degree or higher,291319,62369,261800,892,NA,90204,264770,22515,0.417,NA,NA,NA,NA,NA,594126,1974,2.624,501505,371658,129847,"fuel oil, kerosene, etc.",101110,38014,1993
2007,New Jersey,NJ,Middle Atlantic,Northeast,8685920,4251992,4433928,38.4,bachelor's degree or higher,1981216,67035,372300,1026,NA,729211,1514039,130934,0.464,NA,NA,NA,NA,NA,3498786,1964,2.758,3149910,2118998,1030912,utility gas,2264266,328188,8485
2007,New Mexico,NM,Mountain,West,1969915,977250,992665,36,high school graduate (includes equivalency),314307,41452,155400,637,NA,349159,314124,67436,0.459,NA,NA,NA,NA,NA,862095,1979,2.681,734847,514491,220356,utility gas,496866,100789,1042
2007,New York,NY,Middle Atlantic,Northeast,19297729,9363428,9934301,37.7,bachelor's degree or higher,4089984,53514,311000,907,NA,2570014,2561659,675890,0.5,NA,NA,NA,NA,NA,7940072,1954,2.718,7099940,3941790,3158150,utility gas,3691906,624379,30642
2007,North Carolina,NC,South Atlantic,South,9061032,4425403,4635629,36.8,high school graduate (includes equivalency),1527088,44670,145700,678,NA,1258988,1644260,317134,0.465,NA,NA,NA,NA,NA,4124066,1983,2.559,3540875,2418252,1122623,electricity,899859,1923693,9762
2007,North Dakota,ND,West North Central,North Central,639715,322878,316837,37.1,some college or associate's degree,106191,43753,106800,516,NA,74035,99349,18522,0.44,NA,NA,NA,NA,NA,310438,1972,2.354,271724,178590,93134,utility gas,109423,98409,1629
