year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2015,Alabama,AL,East South Central,South,4858979,2352810,2506169,38.7,high school graduate (includes equivalency),792876,44765,134100,729,157544,876016,712544,285429,0.4811,693065,4088005,516369,925655,961674,2218391,1981,2.632,1846390,1253595,592795,electricity,508335,1191229,6932
2015,Alaska,AK,Pacific,West,738432,388695,349737,33.3,some college or associate's degree,139416,73355,259600,1163,30399,74532,104097,26915,0.4322,93789,619293,66591,77229,129679,309453,1983,2.952,250185,159922,90263,utility gas,122946,32857,1876
2015,Arizona,AZ,Mountain,West,6828065,3387385,3440680,37.4,some college or associate's degree,1257449,51492,194300,933,216440,1159043,979425,321127,0.4702,1139069,5580285,930412,1222730,1492423,2929173,1989,2.772,2463008,1524828,938180,electricity,803620,1490766,38271
2015,Arkansas,AR,West South Central,South,2978204,1463576,1514628,37.9,high school graduate (includes equivalency),433381,41995,120700,695,78751,550508,408732,156749,0.4773,376191,2548116,284058,577864,746044,1347598,1983,2.602,1144663,746000,398663,electricity,449516,565461,3531
2015,California,CA,Pacific,West,39144818,19440558,19704260,36.2,bachelor's degree or higher,8415690,64500,449100,1311,1418357,5891678,4918415,1257012,0.4876,5276207,33373414,4186486,5593326,10272415,13988399,1974,3.035,12896357,6910823,5985534,utility gas,8252070,3427206,480468
2015,Colorado,CO,Mountain,West,5456574,2741020,2715554,36.4,bachelor's degree or higher,1440776,63909,283800,1111,151603,613549,953749,173729,0.458,802541,4564794,636733,768563,1023768,2309122,1983,2.63,2074735,1322618,752117,utility gas,1438590,470730,6888
2015,Connecticut,CT,New England,Northeast,3590886,1752063,1838823,40.6,bachelor's degree or higher,948044,71346,270900,1108,134494,366909,616925,169838,0.4916,469782,3068201,338086,589312,692582,1496056,1964,2.672,1343703,889035,454668,"fuel oil, kerosene, etc.",471195,214414,4064
2015,Delaware,DE,South Atlantic,South,945934,458208,487726,39.7,bachelor's degree or higher,201929,61255,240200,1049,27693,114360,163216,45905,0.4523,151753,779450,109466,179200,191521,421734,1983,2.683,352595,249681,102914,utility gas,145437,114947,1785
2015,Florida,FL,South Atlantic,South,20271272,9891238,10380034,41.8,some college or associate's degree,4092338,49426,179800,1046,678064,3116886,2720156,1112925,0.4872,3133313,16826856,2420815,4232172,3793653,9210287,1985,2.716,7463184,4760071,2703113,electricity,325205,6900036,135213
2015,Georgia,GA,South Atlantic,South,10214860,4975458,5239402,36.4,bachelor's degree or higher,2000113,51244,159300,909,352199,1694988,1496199,535864,0.4801,1279363,8744693,960309,1484108,1804786,4182228,1988,2.794,3656407,2261166,1395241,electricity,1454703,1976609,13974
2015,Hawaii,HI,Pacific,West,1431603,724635,706968,37.7,some college or associate's degree,309194,73486,566900,1500,35025,147984,166018,51246,0.4346,205652,1169410,152557,239798,244713,532413,1978,3.21,445936,252435,193501,no fuel used,8107,126207,292534
