year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2012,Alabama,AL,East South Central,South,4822023,2336291,2485732,38.2,high school graduate (includes equivalency),747159,41574,123200,689,222017,892564,739941,309540,0.4726,559386,4182312,368943,865333,923834,2189567,1981,2.613,1845169,1268565,576604,electricity,521672,1157432,4389
2012,Alaska,AK,Pacific,West,731449,381094,350355,33.8,some college or associate's degree,130124,67712,245100,1120,29864,72400,103938,28724,0.4232,55517,653429,33705,70075,113530,307628,1983,2.907,251651,159427,92224,utility gas,121498,29529,610
2012,Arizona,AZ,Mountain,West,6553255,3260687,3292568,36.6,some college or associate's degree,1170586,47826,151500,888,300531,1194506,990680,345920,0.4608,752055,5691599,559663,1056921,1253907,2871486,1989,2.739,2392168,1496650,895518,electricity,819061,1421896,26041
2012,Arkansas,AR,West South Central,South,2949131,1449265,1499866,37.6,high school graduate (includes equivalency),409109,40112,107600,640,115297,568065,436822,176758,0.4632,276749,2619548,181071,533486,603125,1328225,1982,2.578,1143859,757722,386137,electricity,457689,545241,1714
2012,California,CA,Pacific,West,38041430,18917773,19123657,35.5,bachelor's degree or higher,7660529,58328,349400,1200,2151166,6325319,5013594,1140716,0.4822,3453368,34070906,2438031,4957813,7491378,13708197,1974,3.031,12552658,6781817,5770841,utility gas,8230125,3298902,340935
2012,Colorado,CO,Mountain,West,5187582,2601370,2586212,36.2,bachelor's degree or higher,1291006,56765,234900,934,216624,694842,945039,186217,0.4579,550050,4544716,408575,664803,740982,2230536,1981,2.599,1996088,1278158,717930,utility gas,1436739,401621,5349
2012,Connecticut,CT,New England,Northeast,3590347,1749806,1840541,40.4,bachelor's degree or higher,911137,67276,267800,1019,189561,372390,642602,163064,0.4915,368084,3166535,235368,557207,601437,1488002,1963,2.644,1357812,908452,449360,"fuel oil, kerosene, etc.",442443,212708,3932
2012,Delaware,DE,South Atlantic,South,917092,444691,472401,39.2,high school graduate (includes equivalency),182689,58415,226900,960,41017,107307,168064,48378,0.4356,93875,809040,52734,158412,181179,410308,1981,2.695,340308,241050,99258,utility gas,139144,107027,765
2012,Florida,FL,South Atlantic,South,19317568,9441001,9876567,41.1,some college or associate's degree,3623069,45040,148200,954,1080331,3238581,2888716,1093250,0.4828,2430727,16580343,1716129,3792667,3299577,9031530,1985,2.684,7197943,4724428,2473515,electricity,317127,6666798,100748
2012,Georgia,GA,South Atlantic,South,9919945,4851053,5068892,35.7,some college or associate's degree,1807275,47209,142300,837,528978,1848533,1560580,582724,0.4809,968846,8750565,658312,1325762,1675523,4107554,1987,2.808,3532908,2248702,1284206,electricity,1424695,1867991,9768
2012,Hawaii,HI,Pacific,West,1392313,701196,691117,38.3,some college or associate's degree,286216,66259,496600,1379,49398,157243,172799,50600,0.4257,165803,1175905,110122,214586,223363,524387,1978,3.11,447748,254770,192978,no fuel used,8173,145001,280432
2012,Idaho,ID,Mountain,West,1595728,798712,797016,35.2,some college or associate's degree,257893,45489,154500,702,61864,248494,270378,80755,0.4302,159216,1416466,108558,241815,247824,673048,1983,2.737,583106,398671,184435,utility gas,303445,189786,1064
