year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2013,Alabama,AL,East South Central,South,4833722,2341869,2491853,38.3,high school graduate (includes equivalency),756953,42849,122700,694,214268,883371,719189,283047,0.4752,649782,4105599,464041,885836,911695,2190027,1982,2.652,1822439,1240017,582422,electricity,520001,1149424,6884
2013,Alaska,AK,Pacific,West,735132,386404,348728,33.1,some college or associate's degree,129413,72237,254000,1117,33687,67016,99127,24098,0.4083,76090,636158,52075,70726,112412,307417,1984,2.988,246015,156107,89908,utility gas,122315,26064,654
2013,Arizona,AZ,Mountain,West,6626624,3298086,3328538,36.8,some college or associate's degree,1188441,48510,166000,890,273610,1206460,962561,323485,0.4681,939031,5582195,728325,1110875,1241502,2892359,1989,2.76,2400809,1490031,910778,electricity,814584,1430518,26068
2013,Arkansas,AR,West South Central,South,2959373,1461544,1497829,37.8,high school graduate (includes equivalency),403937,40511,109500,659,109317,565469,412235,172725,0.4685,327959,2579055,233113,554929,626626,1329777,1983,2.628,1125899,739987,385912,electricity,453891,536242,2883
2013,California,CA,Pacific,West,38332521,19072246,19260275,35.7,bachelor's degree or higher,7805734,60190,373100,1224,1913490,6328824,4941183,1192254,0.4903,4568320,33263233,3475482,5150217,7678033,13791262,1974,3.03,12650592,6804639,5845953,utility gas,8149303,3379399,397835
2013,Colorado,CO,Mountain,West,5268367,2645976,2622391,36.4,bachelor's degree or higher,1328281,58823,240500,971,195693,667446,934605,172179,0.4614,706647,4466625,546686,705830,749060,2247291,1982,2.631,2002800,1291945,710855,utility gas,1407423,432137,8059
2013,Connecticut,CT,New England,Northeast,3596080,1751883,1844197,40.5,bachelor's degree or higher,917454,67098,267000,1040,180553,373900,614989,165367,0.4994,467198,3074211,328316,574408,611293,1488072,1964,2.684,1339860,888478,451382,"fuel oil, kerosene, etc.",449787,209463,5957
2013,Delaware,DE,South Atlantic,South,925749,447789,477960,39.1,high school graduate (includes equivalency),187385,57846,226200,999,40461,111327,165067,46663,0.4513,129554,781948,89188,167490,180148,412015,1982,2.73,339071,243047,96024,utility gas,138987,110313,1274
2013,Florida,FL,South Atlantic,South,19552860,9565609,9987251,41.5,some college or associate's degree,3734175,46036,153300,972,909274,3253333,2766041,1089738,0.4843,2803967,16441160,2101988,3922889,3344172,9047973,1985,2.711,7211584,4672482,2539102,electricity,318727,6648779,134543
2013,Georgia,GA,South Atlantic,South,9992167,4879034,5113133,35.9,high school graduate (includes equivalency),1833119,47829,141600,850,498751,1843768,1501828,575317,0.4837,1180639,8620248,873855,1369604,1670855,4110162,1988,2.817,3546965,2222377,1324588,electricity,1422155,1879370,12995
2013,Hawaii,HI,Pacific,West,1404054,710917,693137,38.1,some college or associate's degree,299251,68020,500000,1414,41614,148368,171544,51033,0.44,195538,1149630,135869,227950,221131,526305,1978,3.119,450120,252999,197121,no fuel used,9343,125472,295653
