year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2016,Alabama,AL,East South Central,South,4863300,2356052,2507248,39,high school graduate (includes equivalency),815522,46257,136200,743,140963,810231,717843,270409,0.4847,743047,4039482,542416,948245,962146,2230180,1983,2.625,1852518,1268138,584380,electricity,528624,1184158,7371
2016,Alaska,AK,Pacific,West,741894,390573,351321,33.5,some college or associate's degree,141577,76440,267800,1208,30964,71566,101016,26039,0.4081,109004,609415,78513,81362,131300,310672,1984,2.986,248468,160215,88253,utility gas,121177,30368,1321
2016,Arizona,AZ,Mountain,West,6931071,3444228,3486843,37.5,some college or associate's degree,1335894,53558,205900,976,210851,1107464,1021023,312639,0.4713,1184209,5640436,957333,1261235,1591794,2961136,1989,2.751,2519052,1593014,926038,electricity,813741,1551914,18738
2016,Arkansas,AR,West South Central,South,2988248,1468782,1519466,38,high school graduate (includes equivalency),445833,44334,123300,701,69030,499225,401122,142959,0.4719,392663,2541609,288501,580132,780490,1354801,1983,2.615,1142718,737632,405086,electricity,443158,575287,2555
2016,California,CA,Pacific,West,39250017,19491231,19758786,36.4,bachelor's degree or higher,8660470,67739,477500,1375,1277331,5525524,4933660,1238154,0.4899,5793843,32969972,4574359,5778129,10575754,14061375,1974,3.032,12944178,6943428,6000750,utility gas,8286377,3461462,440971
2016,Colorado,CO,Mountain,West,5540545,2790701,2749844,36.7,bachelor's degree or higher,1492881,65685,314200,1171,140434,598736,978072,171546,0.4586,808732,4639028,637103,804069,1055992,2339140,1983,2.627,2108992,1365832,743160,utility gas,1462841,478032,8527
2016,Connecticut,CT,New England,Northeast,3576452,1745153,1831299,40.9,bachelor's degree or higher,953588,73433,274600,1115,123884,339128,597176,177523,0.4945,515679,3009475,370026,604970,723738,1499145,1964,2.635,1357269,879073,478196,"fuel oil, kerosene, etc.",476852,230532,4721
2016,Delaware,DE,South Atlantic,South,952065,460232,491833,40.6,high school graduate (includes equivalency),205069,61757,243400,1048,26678,108211,157296,39277,0.4522,131242,806693,83199,180629,190072,426154,1984,2.712,351085,245005,106080,utility gas,150877,114528,1329
2016,Florida,FL,South Atlantic,South,20612439,10070860,10541579,42.1,some college or associate's degree,4208456,50860,197700,1086,585900,2973512,2773911,1077995,0.4852,3360235,16934244,2577810,4380312,3858378,9302140,1986,2.722,7573456,4857125,2716331,electricity,342799,6995113,139870
2016,Georgia,GA,South Atlantic,South,10310371,5018150,5292221,36.5,bachelor's degree or higher,2066276,53559,166800,933,300529,1603013,1475331,516772,0.4813,1371455,8749333,1036001,1557373,1817886,4219103,1988,2.797,3686135,2268606,1417529,electricity,1453586,2007390,13194
2016,Hawaii,HI,Pacific,West,1428557,718057,710500,38.9,some college or associate's degree,316593,74511,592000,1483,31796,129569,171834,54008,0.442,216154,1162576,156857,246962,244003,537170,1978,3.134,455868,260626,195242,no fuel used,9951,129907,292480
2016,Idaho,ID,Mountain,West,1683140,841203,841937,36.1,some college or associate's degree,300410,51807,189400,790,37503,237445,269728,66302,0.4503,225883,1436984,173825,283303,293004,700829,1986,2.755,610872,418217,192655,utility gas,317194,204797,2554
2016,Illinois,IL,East North Central,North Central,12801539,6289724,6511815,37.9,bachelor's degree or higher,2942285,60960,186500,950,419099,1621508,2013765,642115,0.481,1633092,10987296,1206043,1993912,2550427,5327165,1968,2.655,4822046,3146858,1675188,utility gas,3737533,796090,34115
2016,Indiana,IN,East North Central,North Central,6633053,3267337,3365716,37.6,high school graduate (includes equivalency),1124846,52314,134800,768,167215,906077,1134794,272445,0.4527,899401,5635513,662923,1122900,1182815,2854595,1973,2.618,2533270,1731421,801849,utility gas,1521013,740225,7659
2016,Iowa,IA,West North Central,North Central,3134693,1556668,1578025,38,some college or associate's degree,593162,56247,142300,741,66229,356378,534153,136100,0.4451,428365,2663072,323172,545331,591254,1380087,1969,2.512,1247932,881435,366497,utility gas,758616,287406,6436
2016,Kansas,KS,West North Central,North Central,2907289,1448853,1458436,36.5,bachelor's degree or higher,621426,54935,144900,789,67003,342544,436010,88187,0.455,394416,2456446,299205,475888,401412,1259870,1973,2.618,1110407,729392,381015,utility gas,726993,273250,3177
2016,Kentucky,KY,East South Central,South,4436974,2179814,2257160,38.7,high school graduate (includes equivalency),702341,46659,135600,707,124677,794060,674045,255718,0.4813,600033,3754347,418880,834191,1164508,1965577,1979,2.583,1717706,1148175,569531,electricity,639630,898114,4175
2016,Louisiana,LA,West South Central,South,4681666,2291880,2389786,36.5,high school graduate (includes equivalency),727906,45146,158000,808,151211,918187,579291,287164,0.499,602577,3974605,445441,792934,1165995,2037067,1979,2.721,1720801,1105710,615091,electricity,574827,1091269,5684
2016,Maine,ME,New England,Northeast,1331479,650702,680777,44.5,high school graduate (includes equivalency),291138,53079,184700,797,30560,161749,236910,75618,0.4519,170491,1146657,120176,290904,252731,730786,1976,2.504,531660,382116,149544,"fuel oil, kerosene, etc.",41879,33543,1546
