year,state,total,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2009,Montana,46023,4049,4638,9181,1978,3898,2259,4643,9405,962,5010
2009,Nebraska,63809,6940,7173,13137,1947,3930,4033,5403,11428,2028,7790
2009,Nevada,83887,10927,6832,13831,2931,7771,4541,5856,17973,3067,10158
2009,New Hampshire,54367,6033,6159,9639,1789,4054,2538,5248,10645,1226,7036
2009,New Jersey,315004,35636,25365,62505,12125,22006,14582,22280,61798,14956,43751
2009,New Mexico,102881,7039,9417,22529,4456,8154,4338,8298,21048,5941,11661
2009,New York,786396,75895,77567,147908,32502,52353,37954,53111,155220,36694,117192
2009,North Carolina,431841,43965,41580,86378,19224,25509,22950,30272,91070,19941,50952
2009,North Dakota,24538,2758,3293,4779,991,2227,850,1704,4181,1081,2674
2009,Ohio,595226,64019,60520,125185,21019,29663,32726,52681,130308,20450,58655
2009,Oklahoma,206578,19871,18701,42637,7946,11814,11303,18949,46959,8135,20263
2009,Oregon,191752,19106,19316,42261,7264,11169,9881,13879,40785,6111,21980
2009,Pennsylvania,611375,67261,58769,113229,20363,36427,33504,48877,138894,22534,71517
2009,Rhode Island,51518,5526,5188,9185,1692,2437,2084,4774,13808,1372,5452
2009,South Carolina,221204,19019,19453,45431,9362,13388,9096,13988,48868,11553,31046
2009,South Dakota,29177,3113,3032,7209,1469,1832,1208,2491,5227,892,2704
2009,Tennessee,357950,28740,28758,77472,15579,19606,15375,26423,85732,18778,41487
2009,Texas,1037358,128102,101442,178928,42001,58832,60054,86006,211193,48335,122465
2009,Utah,97424,12628,11836,16063,4285,4383,6297,12200,16655,2973,10104
2009,Vermont,34964,3074,4332,6579,1217,1692,2780,4150,6640,1317,3183
2009,Virginia,301840,31665,30068,59707,13401,18656,14648,23788,59819,13272,36816
2009,Washington,310843,27213,33210,60920,12318,20671,14517,25954,71408,11757,32875
2009,West Virginia,119637,7807,9355,30703,4909,7429,3744,10472,26807,5086,13325
2009,Wisconsin,211660,25917,21015,39721,6312,11543,11530,20036,45129,7143,23314
2009,Wyoming,23869,2896,2320,5092,909,1109,1308,2068,5058,636,2473
2010,Alabama,297030,26971,24542,63494,12884,18297,13044,18785,67059,16997,34957
2010,Alaska,26331,2787,3298,4194,1036,930,1378,2337,7852,905,1614
2010,Arizona,258285,26072,24988,52349,11301,18087,11425,16378,58644,11832,27209
2010,Arkansas,170795,16647,15786,32265,7891,10197,10511,12567,38223,7882,18826
2010,California,1390852,127198,127321,266705,56447,104689,57970,88637,279325,74704,207856
2010,Colorado,181244,18527,17974,40116,6613,11272,7096,14517,40922,5854,18353
2010,Connecticut,136327,14087,10582,30299,5331,9422,6179,8613,27107,5091,19616
2010,Delaware,41923,4055,5804,7143,1607,2290,2570,2861,9493,1760,4340
2010,Florida,874876,79513,74796,168327,40276,73501,34692,51624,174024,43549,134574
2010,Georgia,426352,50178,35824,82036,17809,21490,22404,33076,91448,21937,50150
2010,Hawaii,53973,5024,4546,8454,2239,5377,3283,3324,10124,2584,9018
2010,Idaho,75895,8514,7543,16032,3762,4646,4411,5812,15304,3274,6597
2010,Illinois,455970,49423,41184,90070,16854,27928,26630,35255,90039,20801,57786
2010,Indiana,303859,33236,26622,65038,10913,16590,18151,24109,66362,12282,30556
2010,Iowa,119228,13078,13118,23982,3936,7489,6862,9301,24779,3355,13328
2010,Kansas,126414,12143,12309,24756,6062,10424,7992,10383,25097,4819,12429
2010,Kentucky,280457,27495,23928,61240,10420,13921,12065,23685,70171,12192,25340
2010,Louisiana,268772,29302,28845,54674,10229,13541,13445,21075,56206,12045,29410
