year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2018,Alabama,AL,East South Central,South,4887871,2369271,2518600,39.3,high school graduate (includes equivalency),852037,49861,147900,788,124835,800422,694367,247434,0.4859,696234,4113860,497776,985028,946145,2274711,1984,2.635,1855184,1262257,592927,electricity,502864,1218383,8147
2018,Alaska,AK,Pacific,West,737438,382952,354486,34.9,some college or associate's degree,146428,74346,276100,1177,25410,78620,102706,27815,0.4322,99431,613602,68797,95396,156943,318352,1984,2.897,254551,167108,87443,utility gas,122020,34656,2489
2018,Arizona,AZ,Mountain,West,7171646,3565129,3606517,38,some college or associate's degree,1438493,59246,241100,1036,181757,983499,1072502,271775,0.4613,1261245,5803554,1007035,1354790,1580796,3035902,1990,2.743,2614298,1694367,919931,electricity,858830,1578580,24480
2018,Arkansas,AR,West South Central,South,3013825,1476680,1537145,38.1,high school graduate (includes equivalency),471275,47062,133100,731,61872,504504,410135,131342,0.4845,421603,2538900,307459,605711,802927,1380521,1984,2.606,1156347,760401,395946,electricity,427676,598185,3265
2018,California,CA,Pacific,West,39557045,19673553,19883492,36.7,bachelor's degree or higher,9171076,75277,546800,1520,1108664,4969326,4988711,1114465,0.4912,6284914,32777551,5036272,5948201,10324302,14277867,1975,3.026,13072122,7165664,5906458,utility gas,8342368,3496270,449749
2018,Colorado,CO,Mountain,West,5695564,2864761,2830803,36.9,bachelor's degree or higher,1625549,71953,373300,1289,122498,537492,994356,156794,0.4561,1007071,4597034,818968,859405,1044659,2424128,1984,2.617,2176757,1417981,758776,utility gas,1502352,503980,9438
2018,Connecticut,CT,New England,Northeast,3572665,1740533,1832132,41.1,bachelor's degree or higher,987230,76348,277400,1171,106371,361377,609456,154161,0.5014,544320,2979522,396820,633696,725230,1521123,1965,2.592,1378091,906771,471320,"fuel oil, kerosene, etc.",497422,232420,4429
2018,Delaware,DE,South Atlantic,South,967171,467924,499247,41.1,high school graduate (includes equivalency),212992,64805,255300,1108,27858,117242,165425,41515,0.4587,290485,661726,244963,198342,203535,438659,1983,2.631,367671,261145,106526,utility gas,157776,122903,1085
2018,Florida,FL,South Atlantic,South,21299325,10404676,10894649,42.2,bachelor's degree or higher,4647230,55462,230600,1182,530845,2840977,2890964,1077869,0.4887,3785377,17210630,2968818,4631522,3829135,9547762,1986,2.727,7809358,5148242,2661116,electricity,365966,7210000,135853
2018,Georgia,GA,South Atlantic,South,10519475,5120290,5399185,36.8,bachelor's degree or higher,2224033,58756,189900,1008,249896,1468642,1568112,453168,0.4822,1474750,8860208,1105863,1643902,1798637,4326266,1989,2.766,3803012,2426435,1376577,electricity,1473926,2101878,16762
2018,Hawaii,HI,Pacific,West,1420491,710702,709789,39.3,bachelor's degree or higher,333573,80212,631700,1613,27230,122143,170872,45590,0.445,249277,1119272,182719,264184,241934,546261,1979,3.12,455309,265364,189945,no fuel used,11004,134854,283625
2018,Idaho,ID,Mountain,West,1754208,882158,872050,36.8,some college or associate's degree,316262,55583,233100,848,33438,203264,290501,56753,0.4454,258884,1474600,194365,314451,286543,735703,1986,2.74,640270,452916,187354,utility gas,334824,212296,1560
2018,Illinois,IL,East North Central,North Central,12741080,6266062,6475018,38.3,bachelor's degree or higher,3052684,65030,203400,995,368739,1509247,2002424,599358,0.4852,1845221,10718687,1405331,2086580,2418070,5376176,1969,2.619,4864864,3210113,1654751,utility gas,3738735,841843,31146
2018,Indiana,IN,East North Central,North Central,6691878,3295973,3395905,37.8,high school graduate (includes equivalency),1211066,55746,147300,820,149266,852638,1166290,230522,0.4511,1022496,5570008,774744,1162591,1186628,2903576,1974,2.575,2599169,1791749,807420,utility gas,1548536,777784,9756
2018,Iowa,IA,West North Central,North Central,3156145,1564888,1591257,38.1,some college or associate's degree,610540,59955,152000,777,60717,343504,543108,122222,0.4413,441921,2671108,328084,565650,596596,1409568,1970,2.489,1267873,903751,364122,utility gas,779024,286768,6063
2018,Kansas,KS,West North Central,North Central,2911510,1449745,1461765,37.1,bachelor's degree or higher,646143,58218,159400,840,57197,338175,442557,82465,0.4633,405212,2449562,308123,497399,397017,1280553,1974,2.569,1133408,749821,383587,utility gas,733557,283269,3193
2018,Kentucky,KY,East South Central,South,4468402,2199021,2269381,39.1,high school graduate (includes equivalency),753785,50247,148100,779,109879,730408,661520,229058,0.4787,643743,3744461,459644,865673,1180988,1995187,1980,2.579,1732713,1167729,564984,electricity,636965,911907,6263
2018,Louisiana,LA,West South Central,South,4659978,2276530,2383448,37.3,high school graduate (includes equivalency),758653,47905,167300,854,137130,843626,593733,260842,0.4936,607116,3948962,447458,826735,1339254,2076136,1979,2.682,1737220,1137524,599696,electricity,572612,1118248,4931
2018,Maine,ME,New England,Northeast,1338404,655734,682670,45.1,bachelor's degree or higher,310050,55602,197500,839,24865,151541,247344,73727,0.4516,198601,1124688,141753,305799,245326,746592,1975,2.347,570307,406226,164081,"fuel oil, kerosene, etc.",44328,41759,1324
2018,Maryland,MD,South Atlantic,South,6042718,2930350,3112368,38.8,bachelor's degree or higher,1700695,83242,324800,1371,160777,528203,1073634,208654,0.4543,959008,4984056,668416,985743,1115193,2458779,1977,2.727,2215935,1482669,733266,utility gas,956824,944809,11882
2018,Massachusetts,MA,New England,Northeast,6902149,3350887,3551262,39.5,bachelor's degree or higher,2152010,79835,400700,1295,180720,663918,1105499,301025,0.4875,1199732,5631064,905940,1187722,1570110,2915043,1961,2.63,2624294,1620712,1003582,utility gas,1374460,434646,11434
2018,Michigan,MI,East North Central,North Central,9995915,4926816,5069099,39.8,some college or associate's degree,2031893,56697,162500,861,265532,1373349,1671899,498793,0.4679,1491376,8397153,992199,1939429,2226447,4614552,1971,2.526,3957466,2817484,1139982,utility gas,3009520,407077,19032
2018,Minnesota,MN,West North Central,North Central,5611179,2793980,2817199,38.2,bachelor's degree or higher,1398128,70315,235400,969,104622,529077,1024974,160758,0.4536,818619,4734945,619394,928689,999370,2455637,1977,2.557,2194452,1567939,626513,utility gas,1431179,397513,19219
2018,Mississippi,MS,East South Central,South,2986530,1446829,1539701,37.7,some college or associate's degree,458694,44717,123300,777,94796,567645,365204,164100,0.4828,374306,2545367,280982,568738,684553,1332631,1984,2.694,1108630,756195,352435,electricity,329840,634392,3798
2018,Missouri,MO,West North Central,North Central,6126452,3003165,3123287,38.8,some college or associate's degree,1235894,54478,162600,830,127857,786330,986408,260185,0.4657,830465,5184277,615487,1166663,911558,2806296,1976,2.516,2434806,1625854,808952,utility gas,1218643,902139,6729
2018,Montana,MT,Mountain,West,1062305,534782,527523,40.1,some college or associate's degree,233405,55328,249200,811,19003,135114,164197,38358,0.4535,161950,885125,121869,216502,222701,515161,1978,2.462,431421,291018,140403,utility gas,225236,105015,1742
