year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2009,Alabama,AL,East South Central,South,4708708,2280784,2427924,37.4,high school graduate (includes equivalency),686543,40489,119600,657,NA,804683,779325,235122,0.471,444747,4171281,257026,781969,816609,2182358,1979,2.548,1848051,1285879,562172,electricity,585319,1073718,4811
2009,Alaska,AK,Pacific,West,698473,360688,337785,32.6,some college or associate's degree,114535,66953,232900,1007,NA,61653,104790,23699,0.402,45462,632619,24127,58787,98242,283895,1981,2.952,236597,154337,82260,utility gas,115946,22569,197
2009,Arizona,AZ,Mountain,West,6595778,3307075,3288703,34.9,some college or associate's degree,1085753,48745,187700,859,NA,1069897,1076371,244136,0.451,650941,5850590,444241,947737,1276804,2753059,1987,2.897,2276865,1526790,750075,electricity,817083,1310308,23675
2009,Arkansas,AR,West South Central,South,2889450,1413505,1475945,37.1,high school graduate (includes equivalency),358933,37823,102900,606,NA,527378,435512,157428,0.461,235884,2597507,138269,498358,581200,1309843,1979,2.569,1124947,742860,382087,electricity,470630,499506,1589
2009,California,CA,Pacific,West,36961664,18517377,18444287,34.9,bachelor's degree or higher,7110449,58931,384200,1155,NA,5128708,5226588,754865,0.467,2928270,33448668,1942552,4466388,6533515,13434537,1973,3.026,12214891,6910054,5304837,utility gas,8148678,3008533,355108
2009,Colorado,CO,Mountain,West,5024748,2529083,2495665,35.7,bachelor's degree or higher,1181594,55430,237800,851,NA,634387,971804,116941,0.453,393063,4537079,247829,579706,579065,2167902,1980,2.631,1910146,1279955,630191,utility gas,1438473,313428,4830
2009,Connecticut,CT,New England,Northeast,3518288,1716182,1802106,39.5,bachelor's degree or higher,843502,67034,291200,1006,NA,320554,659299,107127,0.48,311669,3145187,174888,505055,468837,1445840,1963,2.653,1326329,913166,413163,"fuel oil, kerosene, etc.",416704,199796,1851
2009,Delaware,DE,South Atlantic,South,885122,428865,456257,38.2,high school graduate (includes equivalency),171091,56860,249400,949,NA,93251,168711,30371,0.434,80404,789079,42494,139879,147987,396270,1980,2.705,327252,240908,86344,utility gas,131109,94510,821
2009,Florida,FL,South Atlantic,South,18537969,9111329,9426640,40.1,high school graduate (includes equivalency),3233714,44736,182400,952,NA,2707925,3093098,667567,0.469,1972173,16220611,1251125,3416567,2668500,8848172,1984,2.653,6987647,4785064,2202583,electricity,319252,6429648,104636
2009,Georgia,GA,South Atlantic,South,9829211,4826927,5002284,34.6,high school graduate (includes equivalency),1716045,47590,162800,800,NA,1574649,1655875,378962,0.469,806473,8787804,498053,1172011,1468984,4063506,1985,2.833,3469250,2325917,1143333,electricity,1492353,1706295,8782
