year,state,total,male 5 and under,male 6 to 18,male 19 to 25,male 26 to 34,male 35 to 44,male 45 to 54,male 55 to 64,male 65 to 74,male 75 and older,female 5 and under,female 6 to 18,female 19 to 25,female 26 to 34,female 35 to 44,female 45 to 54,female 55 to 64,female 65 to 74,female 75 and older
2009,Washington,1027059,108586,158243,27490,33004,32376,38308,30354,26043,23230,100375,151202,43541,55381,43119,48757,40607,32227,34216
2009,West Virginia,335563,30734,47028,9322,11341,14898,15359,12883,8056,5796,29099,45701,14729,19014,16213,17042,15570,11262,11516
2009,Wisconsin,882869,78733,115581,25270,35128,33691,33760,24506,21137,19080,76234,106938,53483,72279,52701,43607,29978,26182,34581
2009,Wyoming,64011,8653,11425,1676,1751,1495,2231,1399,1895,1243,8363,7918,2673,3547,1309,1349,2702,2194,2188
2010,Alabama,856202,89775,149439,23531,18010,21572,26716,25289,19533,14319,86341,133629,38965,40638,33086,32789,34459,32608,35503
2010,Alaska,106094,13069,17612,2827,3028,2345,3595,2884,2692,1435,10812,16289,5555,6292,4306,2695,4257,3188,3213
2010,Arizona,1285011,127909,174406,57623,57827,52889,51177,33424,22009,19240,115172,175566,73828,92001,65825,57318,42770,33630,32397
2010,Arkansas,588128,71529,104933,14103,12683,12120,16259,13329,12846,9447,64233,112487,23657,21241,17783,20318,21244,18105,21811
2010,California,7051008,694584,1115261,232889,210945,212406,228161,192904,163092,157336,656680,1082026,335108,386270,325626,287913,244370,252009,273428
2010,Colorado,638472,71593,101554,17241,18865,18809,22664,19061,13790,11791,65614,93581,25501,39227,28960,25057,23347,20256,21561
2010,Connecticut,531410,44927,74364,16156,18080,19176,24593,12754,10348,10104,43050,72895,26955,42329,33682,27521,16796,16270,21410
2010,Delaware,164687,15296,22834,5605,7455,7832,7105,3520,3125,2293,13596,20806,9760,12477,10639,7687,6325,3889,4443
2010,Florida,2881765,296002,454889,75371,71705,76280,90344,91561,83532,79334,278427,427398,120712,138305,106637,109438,105641,123667,152522
2010,Georgia,1529357,193163,283081,38782,25680,30320,35050,35978,30491,20721,184904,262809,61718,69538,51238,52482,48837,53602,50963
2010,Hawaii,205281,18886,30945,6742,7117,7425,7271,4673,5328,4226,19084,25741,12747,13510,9363,7809,7725,6735,9954
2010,Idaho,213097,30680,38949,7060,6312,4072,4654,4151,3924,4416,25517,35085,7520,9502,6821,5699,6176,5406,7153
2010,Illinois,2180491,227465,377078,46861,62134,60092,59736,43846,36887,30483,230689,363414,110059,164642,115919,76797,56343,56310,61736
2010,Indiana,959593,107367,167229,22924,26590,25862,30916,22869,16447,11239,101599,159113,48585,58951,41792,37823,31207,23708,25372
2010,Iowa,464466,43752,69495,15247,14937,14353,17581,12872,11319,11270,48461,69414,23975,25126,18721,18925,17368,14157,17493
2010,Kansas,337951,42013,56271,8180,6385,7639,12101,8019,8519,8053,42173,50603,14177,14598,11198,12559,10875,11396,13192
2010,Kentucky,785514,77884,128978,17418,22773,21025,28882,27828,19982,12850,75268,112567,33487,41905,35839,39932,33793,28349,26754
2010,Louisiana,970170,109954,176775,27061,20072,20767,27312,25265,18504,14009,106763,164865,51860,48067,32534,30977,32255,31351,31779
2010,Maine,300690,20851,35499,9818,13733,14377,15383,10225,8566,6302,20596,34663,15015,24379,19687,15291,10929,11709,13667
