year,state,total,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2009,Nebraska,93091,837,2104,17306,6878,11364,687,2611,22145,8244,20915
2009,Nevada,146244,1502,4043,31296,10975,18057,1531,4105,34918,14506,25311
2009,New Hampshire,72742,300,1614,14344,5375,7358,437,2457,16676,8130,16051
2009,New Jersey,468866,6428,10246,74007,30690,55602,4339,11286,108958,53232,114078
2009,New Mexico,145741,1327,3977,31363,11267,16679,1632,4704,32127,15361,27304
2009,New York,1189072,11221,26855,218096,84262,120603,11474,28073,293598,123566,271324
2009,North Carolina,651618,5741,17178,137094,46382,56613,4810,16862,177492,72038,117408
2009,North Dakota,34454,231,397,6027,2336,4335,118,596,8122,3520,8772
2009,Ohio,804982,8300,21291,171207,52660,71632,5334,24731,212244,82060,155523
2009,Oklahoma,315748,2261,7809,69647,22669,27383,2672,9914,88927,31824,52642
2009,Oregon,248131,2257,6464,50532,16716,26920,1781,7687,60804,26236,48734
2009,Pennsylvania,836607,5610,18871,149951,54644,87345,7108,19824,214015,87906,191333
2009,Rhode Island,60889,418,1127,13056,3152,5385,457,1770,14454,6444,14626
2009,South Carolina,350096,2564,9420,77228,24686,30086,2167,7674,91240,38300,66731
2009,South Dakota,45587,524,1184,9731,3593,5628,549,1640,10017,4136,8585
2009,Tennessee,526304,3998,11774,121165,35035,42021,3982,13508,145360,56655,92806
2009,Texas,1511665,20098,42611,304148,110721,131583,17166,45312,399421,163610,276995
2009,Utah,108586,2071,4346,21821,7405,10531,1066,4809,23756,10202,22579
2009,Vermont,39390,151,836,8490,2298,4059,354,1989,9355,4266,7592
2009,Virginia,444797,3818,12671,84615,33289,40337,4004,10454,120203,49546,85860
2009,Washington,397487,3932,15267,80305,26279,41542,3228,13804,99623,38076,75431
2009,West Virginia,198842,723,4809,52043,15432,17283,1278,6591,47981,21834,30868
2009,Wisconsin,296340,2497,6944,57943,19919,31311,1858,7906,75273,28564,64125
2009,Wyoming,30829,519,760,6376,2590,3132,113,368,7581,2815,6575
2010,Alabama,437724,4093,10749,93241,30503,35633,2625,9982,125309,48445,77144
2010,Alaska,35732,705,1227,9150,1933,2144,354,1414,11061,3904,3840
2010,Arizona,380413,3588,10181,73657,26067,41149,4119,9220,97976,39536,74920
2010,Arkansas,262949,1366,5009,58950,22473,21872,1988,6482,73698,27744,43367
2010,California,1941798,22415,55499,351212,134746,219089,16661,48615,442175,211418,439968
2010,Colorado,236003,2102,6915,46095,14381,23383,2624,6256,61135,24590,48522
2010,Connecticut,188276,1854,3477,34767,10347,21889,1849,3618,46687,19400,44388
2010,Delaware,55910,304,2398,12451,4540,4975,399,1018,14459,5347,10019
2010,Florida,1326821,8649,29830,248041,101554,165127,9303,25417,292729,143658,302513
2010,Georgia,620358,5444,15592,131920,48508,49218,5507,16156,172631,70234,105148
2010,Hawaii,69294,627,1713,11698,4911,9831,877,1088,14660,6973,16916
2010,Idaho,94120,957,3094,17976,7287,9238,1244,2828,25429,8593,17474
2010,Illinois,705535,6135,14440,129234,50136,75420,6688,17191,170479,79411,156401
2010,Indiana,428093,3836,10358,91499,28643,39321,3310,10999,115301,45712,79114
2010,Iowa,165889,1530,3689,32552,11892,18331,675,2849,41112,15451,37808
2010,Kansas,185654,1220,5729,36499,14598,20119,1672,5072,45825,17891,37029
2010,Kentucky,408059,3620,10232,103712,29246,29079,2162,12001,119631,39048,59328
2010,Louisiana,366944,5148,11955,82253,24659,27768,3240,12358,97462,41150,60951
2010,Maine,96986,1008,2300,22721,6569,9384,429,2312,24501,9947,17815
2010,Maryland,302347,2891,6025,56058,21852,30508,2876,8168,75336,34531,64102
2010,Massachusetts,357522,4148,7691,66366,22578,37888,3597,9667,88643,34409,82535
2010,Michigan,696728,5715,20743,145009,46383,64664,5660,18097,188384,66992,135081
2010,Minnesota,237023,2870,5458,42440,16167,28567,2271,6015,56577,21423,55235
2010,Mississippi,281781,3271,7210,59464,21935,21410,1981,8064,80306,31733,46407
2010,Missouri,449323,3312,8063,98725,31341,41718,3089,10809,124514,46366,81386
2010,Montana,61900,686,1389,13417,4819,6903,801,904,14893,6607,11481
2010,Nebraska,103494,1802,2821,19073,7042,11898,1017,4229,23400,9150,23062
2010,Nevada,153440,1113,5137,32642,14882,14648,884,3118,38668,18207,24141
2010,New Hampshire,69195,588,1100,15175,4427,7515,559,2163,18344,6936,12388
2010,New Jersey,455167,3279,9161,76122,30967,50510,4455,10568,103259,49587,117259
2010,New Mexico,147955,2030,4209,31583,12892,13935,876,4193,35753,16531,25953
2010,New York,1131582,11774,24613,202959,71442,124321,9675,26969,270865,125360,263604
