year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2006,Alabama,AL,East South Central,South,4599030,2230594,2368436,37.2,high school graduate (includes equivalency),636816,38783,107000,573,NA,742064,789058,182205,0.472,NA,NA,NA,NA,NA,2110139,1977,2.561,1796058,1289272,506786,electricity,626243,943783,4261
2006,Alaska,AK,Pacific,West,670053,344757,325296,33.5,some college or associate's degree,111601,59393,213200,883,NA,70919,102554,19165,0.417,NA,NA,NA,NA,NA,276590,1981,2.915,229878,148249,81629,utility gas,111340,23558,1048
2006,Arizona,AZ,Mountain,West,6166318,3085331,3080987,34.6,some college or associate's degree,1006689,47265,236500,762,NA,857349,1084174,151366,0.454,NA,NA,NA,NA,NA,2605095,1986,2.771,2224992,1523041,701951,electricity,827797,1239736,20012
2006,Arkansas,AR,West South Central,South,2810872,1377539,1433333,37.1,high school graduate (includes equivalency),336623,36599,93900,566,NA,471155,439018,131564,0.46,NA,NA,NA,NA,NA,1273433,1978,2.547,1103428,753412,350016,utility gas,502465,427878,1937
2006,California,CA,Pacific,West,36457549,18225275,18232274,34.4,bachelor's degree or higher,6706298,56645,535700,1029,NA,4690140,5431478,525699,0.466,NA,NA,NA,NA,NA,13174781,1972,3,12151227,7102197,5049030,utility gas,8337928,2723897,341699
2006,Colorado,CO,Mountain,West,4753377,2393355,2360022,35.4,bachelor's degree or higher,1071180,52015,232900,780,NA,556153,980544,92037,0.45,NA,NA,NA,NA,NA,2095235,1979,2.574,1846988,1269421,577567,utility gas,1404873,283111,4743
2006,Connecticut,CT,New England,Northeast,3504809,1705842,1798967,39.1,bachelor's degree or higher,797411,63422,298900,886,NA,280108,665431,74615,0.48,NA,NA,NA,NA,NA,1432250,1962,2.644,1325443,921382,404061,"fuel oil, kerosene, etc.",398276,197596,2095
2006,Delaware,DE,South Atlantic,South,853476,413560,439916,37.5,high school graduate (includes equivalency),152828,52833,227100,830,NA,91962,158699,22010,0.434,NA,NA,NA,NA,NA,382866,1977,2.666,320110,238194,81916,utility gas,119819,88751,425
2006,Florida,FL,South Atlantic,South,18089889,8878166,9211723,39.8,high school graduate (includes equivalency),3154450,45495,230600,872,NA,2226587,3283171,528223,0.467,NA,NA,NA,NA,NA,8531860,1983,2.546,7106042,4994101,2111941,electricity,351698,6456457,113609
2006,Georgia,GA,South Atlantic,South,9363941,4613727,4750214,34.6,high school graduate (includes equivalency),1586625,46832,156800,738,NA,1333524,1656735,272688,0.461,NA,NA,NA,NA,NA,3873405,1984,2.773,3376763,2285179,1091584,utility gas,1565595,1490176,7903
2006,Hawaii,HI,Pacific,West,1285498,643073,642425,37.2,some college or associate's degree,256083,61160,529700,1116,NA,116147,176714,28383,0.438,NA,NA,NA,NA,NA,500021,1975,2.971,432632,257599,175033,no fuel used,10512,157932,248719
2006,Idaho,ID,Mountain,West,1466465,735971,730494,34.3,some college or associate's degree,214376,42865,163900,623,NA,180177,274449,33287,0.421,NA,NA,NA,NA,NA,615703,1979,2.673,548555,390982,157573,utility gas,278498,169424,1080
2006,Illinois,IL,East North Central,North Central,12831970,6315239,6516731,35.7,bachelor's degree or higher,2405764,52006,200200,761,NA,1539033,2297517,373776,0.462,NA,NA,NA,NA,NA,5199743,1965,2.716,4724252,3301367,1422885,utility gas,3848316,591279,12984
2006,Indiana,IN,East North Central,North Central,6313520,3104461,3209059,36.3,high school graduate (includes equivalency),891489,45394,120700,638,NA,777712,1237171,204924,0.432,NA,NA,NA,NA,NA,2756583,1970,2.593,2435274,1756328,678946,utility gas,1546225,574389,6087
2006,Iowa,IA,West North Central,North Central,2982085,1470463,1511622,37.8,high school graduate (includes equivalency),468922,44491,112600,584,NA,316122,561392,89273,0.424,NA,NA,NA,NA,NA,1319980,1963,2.467,1208765,885969,322796,utility gas,807569,176944,3725
