year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2019,Alabama,AL,East South Central,South,4903185,2369611,2533574,39.4,high school graduate (includes equivalency),885357,51734,154000,807,111622,739108,721996,247490,0.4741,763853,4058661,552979,1002797,947428,2284922,1984,2.584,1897576,1305223,592353,electricity,502880,1260266,7389
2019,Alaska,AK,Pacific,West,731545,380433,351112,35,some college or associate's degree,146157,75463,281200,1201,20650,71938,99293,25988,0.4376,105956,599816,72490,98749,153906,319867,1984,2.901,252199,163272,88927,utility gas,122448,30611,1210
2019,Arizona,AZ,Mountain,West,7278717,3620935,3657782,38.3,some college or associate's degree,1492158,62055,255900,1101,176868,958442,1087076,251413,0.4591,1316135,5849769,1054769,1413075,1492236,3076048,1990,2.726,2670441,1742670,927771,electricity,877561,1614900,24263
2019,Arkansas,AR,West South Central,South,3017804,1474705,1543099,38.8,high school graduate (includes equivalency),475367,48952,136200,742,67142,474739,403551,127488,0.475,465788,2496808,350289,613935,787006,1389159,1985,2.593,1163647,761809,401838,electricity,450216,588621,3278
2019,California,CA,Pacific,West,39512223,19640794,19871429,37,bachelor's degree or higher,9428484,80440,568500,1614,1017660,4552837,4978989,1107229,0.4866,6595072,32402509,5316743,6099834,9926265,14367012,1975,3.003,13157873,7218742,5939131,utility gas,8469893,3497610,402298
2019,Colorado,CO,Mountain,West,5758736,2904955,2853781,37.1,bachelor's degree or higher,1695602,77127,394600,1369,115497,526979,1042379,153588,0.4548,1074276,4589923,885821,885809,967142,2464109,1985,2.576,2235103,1471912,763191,utility gas,1529865,526565,10825
2019,Connecticut,CT,New England,Northeast,3565287,1743777,1821510,41.2,bachelor's degree or higher,994548,78833,280700,1177,102571,347149,593009,153333,0.5024,554884,2959678,411076,648391,766077,1524959,1965,2.589,1377166,895594,481572,"fuel oil, kerosene, etc.",500471,237614,4709
2019,Delaware,DE,South Atlantic,South,973764,470288,503476,41.4,bachelor's degree or higher,228199,70176,261700,1116,22631,106383,173325,37915,0.4509,253694,702684,203336,206721,198453,443764,1984,2.588,376239,264503,111736,utility gas,159659,132078,1685
2019,Florida,FL,South Atlantic,South,21477737,10498005,10979732,42.4,bachelor's degree or higher,4753637,59227,245100,1238,471449,2664772,2948085,935759,0.4808,3899909,17256861,3085953,4782128,3663371,9674053,1987,2.717,7905832,5237519,2668313,electricity,368160,7284195,147717
2019,Georgia,GA,South Atlantic,South,10617423,5170126,5447297,37.2,bachelor's degree or higher,2301568,61980,202500,1049,251981,1373909,1585366,431783,0.4795,1621979,8798433,1244121,1705477,1791103,4378350,1989,2.756,3852714,2470572,1382142,electricity,1487548,2141572,17386
2019,Hawaii,HI,Pacific,West,1415872,707855,708017,39.6,bachelor's degree or higher,335209,83102,669200,1651,27112,128722,180304,48397,0.4397,267626,1091089,202611,275116,244522,550328,1978,3.043,465299,279960,185339,no fuel used,9823,157002,272729
2019,Idaho,ID,Mountain,West,1787065,898044,889021,36.9,some college or associate's degree,336655,60999,255200,880,29127,195984,301624,54700,0.4337,282027,1482884,217053,316938,282551,751113,1989,2.725,655859,469387,186472,utility gas,333883,225718,2150
2019,Illinois,IL,East North Central,North Central,12671821,6217305,6454516,38.6,bachelor's degree or higher,3108972,69187,209100,1020,320069,1420542,2004309,576552,0.48,1947472,10540905,1479449,2147220,2274453,5388210,1969,2.604,4866006,3211867,1654139,utility gas,3750774,828297,29643
2019,Indiana,IN,East North Central,North Central,6732219,3319907,3412312,38,high school graduate (includes equivalency),1212826,57603,156000,840,142084,775823,1174571,220463,0.4584,1044250,5587279,801207,1196696,1170506,2921115,1974,2.592,2597765,1800483,797282,utility gas,1552483,772790,10123
2019,Iowa,IA,West North Central,North Central,3155070,1570384,1584686,38.5,some college or associate's degree,622253,61691,158900,808,62357,341613,543781,122030,0.4422,442678,2669236,330352,586776,602729,1418600,1970,2.451,1287221,907880,379341,utility gas,780476,304965,6342
2019,Kansas,KS,West North Central,North Central,2913314,1446287,1467027,37.2,bachelor's degree or higher,652489,62087,163200,862,56737,323189,438405,79562,0.45,416628,2435203,321755,507608,379823,1288430,1974,2.559,1138329,756566,381763,utility gas,731882,289950,2687
2019,Kentucky,KY,East South Central,South,4467673,2198205,2269468,39.2,high school graduate (includes equivalency),765923,52295,151700,773,100537,703627,667344,207660,0.4764,675469,3709427,501004,898979,1135120,2006335,1980,2.555,1748732,1171824,576908,electricity,644977,921242,5196
2019,Louisiana,LA,West South Central,South,4648794,2268202,2380592,37.7,high school graduate (includes equivalency),784275,51073,172100,866,118011,857894,598175,250912,0.4978,673522,3866168,505078,848218,1319888,2089824,1980,2.67,1741076,1157652,583424,electricity,579773,1114041,6708
2019,Maine,ME,New England,Northeast,1344212,656330,687882,45.1,bachelor's degree or higher,328999,58924,200500,870,24471,141803,250451,70356,0.449,197281,1130342,139575,315077,259524,750964,1975,2.343,573618,414119,159499,"fuel oil, kerosene, etc.",44750,48008,2208
