year,state,total,male 5 and under,male 6 to 18,male 19 to 25,male 26 to 34,male 35 to 44,male 45 to 54,male 55 to 64,male 65 to 74,male 75 and older,female 5 and under,female 6 to 18,female 19 to 25,female 26 to 34,female 35 to 44,female 45 to 54,female 55 to 64,female 65 to 74,female 75 and older
2009,Wisconsin,816162,1335,4172,1158,3696,6665,12396,21351,176970,132754,867,1965,1171,5177,7108,14168,21913,198899,204397
2009,Wyoming,73054,27,638,169,314,561,2050,2090,17011,11806,61,353,12,59,781,933,2016,17551,16622
2010,Alabama,797462,1384,2324,1405,5377,13443,22321,37319,163584,103784,1800,2913,1549,5593,11416,23554,40348,193616,165732
2010,Alaska,60762,499,542,0,335,454,1566,2090,15312,7534,222,246,414,466,1197,1212,2691,15978,10004
2010,Arizona,972938,1129,2853,1585,3931,7570,16000,28803,227397,159824,1827,2543,886,4546,6057,17341,29931,252187,208528
2010,Arkansas,513016,431,878,1218,3676,7239,15291,25284,108229,68739,881,1027,1010,3087,8067,16342,29359,120170,102088
2010,California,4621251,14136,24092,12569,23092,41236,77688,138663,963100,755958,10013,21397,12341,21534,36652,78366,151749,1138409,1100256
2010,Colorado,603236,1548,1869,1666,2121,6092,12359,16761,140489,91179,956,1509,1217,2211,5181,12044,18648,154237,133149
2010,Connecticut,534321,450,753,508,3196,5330,8763,14550,109887,87756,508,903,966,1324,3798,10985,16979,128600,139065
2010,Delaware,145685,312,87,248,916,1866,2828,4161,32434,21702,423,221,110,717,1462,4050,5685,36981,31482
2010,Florida,3527170,4405,9056,5646,10915,24676,53002,103904,758201,621015,3979,8581,4341,12824,23663,58279,114662,875153,834868
2010,Georgia,1206649,2214,5828,3475,6880,12824,28819,50834,264836,149618,2802,4751,2706,6379,14415,32502,60030,313425,244311
2010,Hawaii,206752,212,919,427,969,1299,2726,5868,45459,36613,209,955,560,492,1283,2488,4872,48695,52706
2010,Idaho,223252,500,564,651,2393,1235,4289,7649,52340,35208,282,910,144,1197,1847,4362,6966,55205,47510
2010,Illinois,1725807,2395,5034,4199,7410,14486,31189,50944,364295,267807,2699,6003,3912,6798,14715,30576,56030,432461,424854
2010,Indiana,944416,1039,1736,2196,4272,10979,21466,34288,200135,138989,679,1511,1735,5390,10860,23118,35643,233503,216877
2010,Iowa,483058,524,1014,1491,2239,3994,8580,12371,102046,81657,669,1061,708,2257,3898,7685,13651,115302,123911
2010,Kansas,413625,817,705,884,1381,4126,9559,12446,87324,67652,188,854,2036,2515,3912,8387,12771,97740,100328
2010,Kentucky,710670,1626,2641,1731,4424,9544,23050,44572,144555,91729,608,1911,1835,3517,10631,21477,38378,167836,140605
2010,Louisiana,657798,1193,1924,1855,4444,7333,20667,33347,135227,87029,1200,3467,1477,5492,7033,18611,29687,158812,139000
2010,Maine,243454,302,516,606,1524,3184,5491,10696,51751,36561,114,399,576,1135,3824,6157,10502,56068,54048
2010,Maryland,750622,1260,3089,1640,2782,5096,14616,23092,162020,112942,1339,2635,1464,3962,4498,12355,24438,191854,181540
2010,Massachusetts,959280,839,1670,2345,5233,8038,17802,23883,192440,156057,423,1863,2476,5524,9090,22362,29715,232116,247404
2010,Michigan,1577137,1977,3575,4916,8985,16505,38723,61366,330844,238446,2468,2935,4480,8504,17376,38870,61565,374079,361523
2010,Minnesota,741042,833,1279,1916,3235,7285,13358,20335,161324,121513,1211,1313,1574,3921,6671,13972,20352,182114,178836
2010,Mississippi,477802,896,1457,1412,3059,7897,13904,26074,95069,57990,517,1544,987,3038,6928,15607,30897,113919,96607
2010,Missouri,957947,645,1289,2567,5505,11357,27196,36954,202329,140643,841,1710,1081,5828,10315,22605,42033,231719,213330
2010,Montana,161213,29,175,180,615,1003,3108,6037,39015,26475,118,204,327,413,969,2474,5981,38940,35150
2010,Nebraska,260622,537,248,971,1285,1967,4060,6276,54972,44067,185,97,410,1527,2137,4356,7133,61920,68474
2010,Nevada,358711,1068,1456,740,855,3594,8391,12222,90450,54117,639,1199,628,1540,2920,7288,9965,95059,66580
2010,New Hampshire,199678,159,529,1070,705,2236,4687,5620,45046,30778,103,240,398,1305,2373,5621,6578,48856,43374
2010,New Jersey,1254010,2596,3878,1609,5106,9304,21072,30655,254355,203095,1991,3003,2436,4637,10383,22419,38902,310045,328524
2010,New Mexico,309147,506,1986,278,2241,2769,5626,12746,69709,48513,548,614,585,1643,2757,4617,12071,78101,63837
2010,New York,2825541,3366,7721,6892,14181,23560,58383,93642,562280,444113,2671,5824,4307,13997,27261,51607,95994,697772,711970
2010,North Carolina,1436831,1092,5579,2042,6088,12314,35295,65147,308983,191817,1658,2648,2245,6630,13658,35705,72235,366966,306729
2010,North Dakota,102998,270,190,295,541,816,1457,3659,21410,18893,252,277,346,153,794,1331,2281,23459,26574
2010,Ohio,1795241,2082,5006,2287,9357,17723,36654,57475,374485,277792,1899,3994,4945,9361,16320,40184,61493,439839,434345
2010,Oklahoma,580553,578,2046,1549,2190,7023,13837,22258,125085,84761,1426,1074,826,3760,6256,15366,22836,144200,125482
2010,Oregon,596927,733,2166,1005,2307,5484,11706,22074,131771,93829,680,1011,517,1866,4607,9973,20981,146628,139589
2010,Pennsylvania,2132143,1434,4211,3419,10027,16483,43756,69373,429062,349576,1559,2323,3767,8198,19776,42959,65288,506653,554279
2010,Rhode Island,169429,219,1074,348,2407,1848,4672,6110,31711,26573,245,561,502,1011,1440,3070,6238,38086,43314
2010,South Carolina,750052,461,1577,778,5083,9703,19012,33239,167355,95849,1227,1752,1692,2719,9674,20544,36857,195503,147027
2010,South Dakota,126721,258,279,507,805,1010,2385,3421,26657,22408,28,150,367,294,872,2480,4047,29801,30952
2010,Tennessee,1028395,4625,5610,1280,6391,12392,27910,43036,218783,132148,3525,6678,3688,7358,15969,27108,47765,253776,210353
2010,Texas,2913258,7669,12721,6755,16711,31498,63277,103421,638870,423305,8245,10291,6792,18226,29750,64767,110746,737123,623091
2010,Utah,274979,387,1169,484,2489,2492,4029,6021,62865,45788,257,504,393,1817,2022,4581,8720,70589,60372
2010,Vermont,105549,168,870,346,1009,861,2880,3447,22783,15425,75,157,865,1343,1595,2527,3764,24903,22531
2010,Virginia,1107837,3464,3927,2026,5208,11501,25834,42730,242960,156536,4048,4451,3435,5501,11439,23452,39387,278759,243179
2010,Washington,913447,618,3008,2810,4384,7640,15249,30726,207418,143736,719,1940,2044,4805,7479,15411,32175,225901,207384
2010,West Virginia,366539,382,1131,674,1302,4901,12047,24432,75181,49742,364,797,1112,2212,4918,8495,18986,83141,76722
2010,Wisconsin,845006,661,2375,1371,5149,7584,13998,22272,183280,139321,1238,2430,1791,3656,8102,15769,23069,203630,209310
2010,Wyoming,74064,16,28,244,31,343,1276,1764,18665,11847,0,40,28,196,717,1617,2239,18839,16174
2011,Alabama,822093,588,1932,1104,5822,12705,23763,42921,164467,106862,557,2291,859,4347,10435,27179,47054,200689,168518
2011,Alaska,64733,219,229,129,638,808,1097,3084,17542,8562,91,197,136,373,772,975,2396,16793,10692
2011,Arizona,1012217,1335,2891,2076,4089,6516,15575,31771,234697,168533,647,2048,1465,4814,10325,15350,34132,262802,213151
2011,Arkansas,526241,2171,2746,1035,3664,6709,15830,26998,107604,70413,2347,1648,1187,4589,7437,15383,28858,121319,106303
2011,California,4732721,7425,21689,15419,24041,32983,82177,141493,1006852,774680,9673,20835,12117,20652,35776,79248,153517,1172418,1121726
2011,Colorado,632159,1322,2278,1699,2951,5831,12048,20318,145530,94447,1548,3143,947,2973,5864,12840,20378,162449,135593
2011,Connecticut,542760,194,705,992,2863,5542,9895,14839,111987,90164,350,374,1245,1452,5316,10122,16584,132185,137951
2011,Delaware,150747,0,962,539,994,1633,2450,5403,33555,22229,310,39,320,1059,2295,3211,5134,38592,32022
2011,Florida,3637826,5236,10820,7103,16369,27103,62523,111658,777998,638510,4810,7922,4959,11091,24624,57448,112586,894653,862413
2011,Georgia,1255618,3719,6769,2692,9417,11648,31160,56453,274998,154476,4369,6757,3667,6299,11981,30955,58118,329300,252840
