year,state,total,male 4 and under,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 4 and under,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2008,Alabama,153597,1398,5156,6308,31925,9848,14319,266,4111,7227,34589,13362,25088
2008,Alaska,13809,165,440,987,3702,604,1305,139,243,746,3249,844,1385
2008,Arizona,164146,436,5834,11939,31131,9265,17692,1576,6343,11127,29275,9097,30431
2008,Arkansas,91455,627,2961,4441,17786,6111,9387,371,2960,4262,18920,8252,15377
2008,California,723231,3531,25452,39091,133790,39712,79955,5121,22290,42677,140068,53375,138169
2008,Colorado,83072,504,2247,4684,16801,4422,8828,590,2367,4109,17132,5250,16138
2008,Connecticut,55757,1078,1462,2430,10127,1813,5910,283,1910,2492,10381,5084,12787
2008,Delaware,22910,54,1001,1731,4473,1777,1467,123,175,1262,4955,1635,4257
2008,Florida,437393,2003,10738,16780,77306,29472,52486,2520,11057,20730,80329,34673,99299
2008,Georgia,239169,2977,9335,15638,47863,12229,15939,865,9707,11967,54864,19241,38544
2008,Hawaii,23324,30,731,978,3421,1964,3820,0,374,939,3781,2433,4853
2008,Idaho,29941,668,1513,2133,5187,1299,4157,68,584,1412,5118,2182,5620
2008,Illinois,241169,2469,6914,11376,46123,13277,22300,1344,7006,11752,45997,19723,52888
2008,Indiana,135935,825,5374,8869,27676,9196,11493,1016,4841,5282,27344,10472,23547
2008,Iowa,51405,257,1280,1895,9133,3034,6381,54,1123,2834,9889,4297,11228
2008,Kansas,54555,657,1867,3942,9059,3293,5283,121,1876,2178,11325,2991,11963
2008,Kentucky,134394,543,3213,7490,30003,7990,10900,705,2612,6925,31964,10892,21157
2008,Louisiana,138101,1247,3856,5863,27436,10064,12989,679,4759,6847,34574,10518,19269
2008,Maine,31371,156,922,1409,6879,1512,3565,116,503,1848,5539,2261,6661
2008,Maryland,100047,785,2936,5340,20725,6166,9781,528,2670,5192,19119,7873,18932
2008,Massachusetts,134713,1300,3579,5889,24439,6718,12988,270,5597,8811,28702,8416,28004
2008,Michigan,213871,1935,8052,11499,40954,11403,20044,854,5152,11244,50332,13282,39120
2008,Minnesota,68028,886,2158,3925,12419,4211,7605,588,1763,3562,10582,4076,16253
2008,Mississippi,115135,483,4017,4745,22536,7842,7330,1064,3497,7631,28006,10299,17685
2008,Missouri,144653,1177,5627,8761,27779,9578,12992,937,4057,8433,31038,9492,24782
2008,Montana,22607,65,456,663,4457,1333,2899,323,657,799,3753,1635,5567
2008,Nebraska,31499,146,1783,1435,6023,1452,4419,493,890,1227,4869,1960,6802
2008,Nevada,50263,332,2646,2851,9513,3642,4607,291,1278,2725,9826,3566,8986
2008,New Hampshire,21219,369,1433,947,4150,1201,2588,248,768,768,3582,1530,3635
2008,New Jersey,158073,1286,6119,7661,27466,7383,14866,1719,3391,8516,33662,12199,33805
2008,New Mexico,63752,670,1348,2631,12816,4625,7897,447,2104,3175,12406,5107,10526
2008,New York,402355,2984,9287,18920,70694,26598,39695,2352,9498,17514,76309,33709,94795
2008,North Carolina,232038,1491,6286,11258,48718,14912,19487,1934,5405,10300,55140,17911,39196
2008,North Dakota,11449,0,95,150,2169,813,1733,56,38,794,1698,798,3105
2008,Ohio,248805,2015,8233,13295,46740,13639,24806,1813,6307,12753,52526,16590,50088
2008,Oklahoma,120130,393,3786,7733,27645,7880,11020,878,2734,5724,25695,8784,17858
2008,Oregon,80754,761,1987,4690,16229,3906,7972,924,2663,4255,15247,4550,17570
2008,Pennsylvania,269318,1951,6245,11454,51219,16550,26948,1778,8125,14370,55998,22204,52476
2008,Rhode Island,21294,0,754,750,4148,1557,2399,55,622,831,4506,1471,4201
2008,South Carolina,116522,283,2173,4685,24678,8099,11425,825,3255,3830,28062,10248,18959
2008,South Dakota,13743,11,402,209,3297,631,1771,0,463,679,2286,778,3216
2008,Tennessee,182026,2107,5163,6848,40159,11712,14687,1084,4756,9412,43504,13526,29068
2008,Texas,632167,3557,26470,38110,126325,40734,53016,3331,27774,38690,139191,46691,88278
2008,Utah,38320,767,1942,2934,5408,2185,3464,222,1465,2541,7817,2386,7189
2008,Vermont,13861,92,402,577,2586,498,1906,41,364,513,2659,1058,3165
2008,Virginia,139601,628,4082,6304,30112,7548,11374,398,2792,6126,30226,11416,28595
2008,Washington,131231,1398,3853,8034,26103,7744,10569,1138,3396,5677,28601,10883,23835
2008,West Virginia,68074,319,890,3024,16912,4021,6333,567,1214,3244,14211,5179,12160
2008,Wisconsin,88014,691,2440,5187,17709,4342,10365,636,2268,4422,15313,5852,18789
2008,Wyoming,9759,0,340,304,1674,789,1854,0,202,448,1568,322,2258
2009,Alabama,138826,327,4573,6179,28379,8449,11085,855,3887,6952,35240,10148,22752
2009,Alaska,15498,78,761,1100,3571,535,1223,0,1223,558,3944,810,1695
2009,Arizona,134421,1040,6851,6978,25321,6943,16014,979,4239,5412,24980,10180,25484
2009,Arkansas,95529,248,2310,6873,19483,6679,9498,655,2139,4881,22700,7284,12779
2009,California,683135,5970,22719,36014,122580,39751,71589,6523,20847,35713,138872,53656,128901
2009,Colorado,85009,763,3196,5254,17217,3640,9151,405,3356,5135,14961,5171,16760
2009,Connecticut,55728,240,1910,2770,9890,2290,5604,262,814,3282,12155,4884,11627
2009,Delaware,19014,0,615,1288,3668,919,2582,0,171,1122,2621,1985,4043
2009,Florida,416578,2611,9989,18136,72780,25885,59818,2135,8640,15512,73520,35945,91607
2009,Georgia,218982,2114,7775,10848,44427,12810,16823,1552,6130,12564,52981,17526,33432
2009,Hawaii,21670,0,401,919,4471,1291,2763,40,480,919,3859,1800,4727
2009,Idaho,29163,250,797,2177,6933,1507,3904,220,661,1303,4683,1599,5129
2009,Illinois,217060,1766,6364,9860,38020,13378,22197,1362,7430,10719,43136,17808,45020
2009,Indiana,131489,951,3694,8523,28119,7374,12495,740,3600,6201,24739,10849,24204
2009,Iowa,50676,260,1464,3037,10482,2564,5755,197,1783,2866,9403,2881,9984
2009,Kansas,57458,356,2057,3183,10460,3209,5725,480,2225,3843,11613,3675,10632
2009,Kentucky,127988,862,4357,7384,28839,9301,8336,1275,3551,6188,29091,9603,19201
2009,Louisiana,129295,390,5768,6610,23525,9504,10624,1013,5089,6822,32499,10197,17254
2009,Maine,28567,60,390,1386,7327,1511,2422,301,275,1549,6146,1575,5625
2009,Maryland,96214,568,3331,4414,18648,4433,9432,767,3444,5502,19759,6679,19237
2009,Massachusetts,109797,717,2853,6218,22908,6523,11365,891,3210,5843,19453,6214,23602
2009,Michigan,200676,957,8402,10069,41609,10082,17475,737,5353,10726,46360,14375,34531
2009,Minnesota,72335,768,2580,4615,14439,3665,8224,574,1581,3336,12591,4496,15466
2009,Mississippi,96332,957,2654,5274,18345,7047,8722,164,3094,5550,21905,7829,14791
2009,Missouri,143563,1029,4322,7815,28358,6682,13433,442,3917,7695,34978,11076,23816
2009,Montana,19975,0,408,1147,4361,1904,2411,0,321,972,3230,966,4255
2009,Nebraska,30512,148,1006,2438,6313,1875,3502,211,1229,1986,5037,1487,5280
2009,Nevada,50240,471,1612,2904,10427,2780,6218,335,1957,2868,9659,2816,8193
2009,New Hampshire,20096,17,258,618,3994,1718,2673,78,141,516,3948,1365,4770
2009,New Jersey,164708,1092,5411,6138,29548,11078,18056,1241,4547,9479,32545,13648,31925
2009,New Mexico,56306,556,1810,2126,12303,3274,7177,413,2467,2514,9814,4812,9040
2009,New York,362401,2858,7969,16184,64932,22895,38078,2618,8780,13501,74388,29920,80278
2009,North Carolina,232633,1422,5476,10424,47505,15188,18983,2026,9074,11242,58199,17345,35749
2009,North Dakota,12613,98,211,838,2383,936,1703,0,100,894,2308,754,2388
2009,Ohio,241902,1171,8261,12292,45859,12893,23119,1159,6916,12064,54208,19042,44918
2009,Oklahoma,116343,616,2932,6253,27374,6439,9388,477,3640,8793,28399,7182,14850
2009,Oregon,84147,1842,2680,6608,13763,3858,8654,672,2806,5186,15738,6740,15600
2009,Pennsylvania,273282,1260,9237,17169,47702,16009,25278,2318,9506,13639,55236,17852,58076
2009,Rhode Island,18917,236,602,812,3986,1004,1616,178,911,1455,3272,1394,3451
2009,South Carolina,113551,176,2336,6526,24550,6546,10191,198,1969,4562,26057,10549,19891
2009,South Dakota,13551,292,237,786,1913,1032,3027,157,238,705,1595,1069,2500
2009,Tennessee,189809,1289,4081,8009,43875,9780,14998,1410,5057,8374,46678,14920,31338
2009,Texas,578793,5758,24233,35281,117562,37348,48662,4194,21174,29788,120042,45413,89338
2009,Utah,39568,381,1084,3583,6166,2645,3926,789,1410,2618,7779,2907,6280
2009,Vermont,11943,41,220,991,1830,540,1297,0,221,465,2768,739,2831
2009,Virginia,139311,266,4203,5429,26693,10580,15262,799,4222,6103,28768,12501,24485
2009,Washington,129914,1963,4158,8801,23755,6552,14613,732,3472,6122,27182,8479,24085
2009,West Virginia,62752,580,1282,2863,16278,4142,5365,194,1582,2635,12645,5477,9709
2009,Wisconsin,87683,821,1812,4145,17731,4825,9470,691,2243,3138,16833,5622,20352
2009,Wyoming,10288,93,723,680,1262,514,1448,180,423,100,1538,828,2499
2010,Alabama,149024,645,4020,7198,32924,11850,12477,190,4216,7444,33939,12991,21130
2010,Alaska,14881,245,753,756,3526,578,927,336,394,896,3745,1078,1647
2010,Arizona,129839,913,3781,5745,27095,8854,14232,1082,3610,6325,24002,10632,23568
2010,Arkansas,90174,380,2676,4103,17531,7066,8685,502,2635,6465,19766,6231,14134
2010,California,666519,6715,24435,34768,118136,41042,70380,5341,20838,34190,130458,49516,130700
2010,Colorado,88578,530,2916,3532,19035,4061,8314,1082,3677,5519,18742,5712,15458
2010,Connecticut,53338,201,1731,1288,10056,2666,6885,468,2522,2125,8967,5176,11253
2010,Delaware,17581,15,640,844,2612,1196,1227,368,494,538,5614,1352,2681
2010,Florida,400040,2044,9556,15345,72413,27507,49715,2806,10229,15715,74570,31265,88875
2010,Georgia,223374,1199,7018,11348,45510,15236,16998,1920,8135,13969,52304,17205,32532
2010,Hawaii,23488,65,666,1084,4584,1891,2672,0,653,1637,4699,1574,3963
2010,Idaho,33223,392,1263,2325,5311,1668,4168,403,1158,2183,7092,1886,5374
2010,Illinois,212022,2218,6133,8938,38551,12407,21095,1336,6450,10820,40447,17184,46443
2010,Indiana,126538,773,4550,7374,25002,8372,10763,551,2704,6879,28396,10205,20969
2010,Iowa,46627,267,1665,1963,9246,2291,5481,516,1300,1239,8736,2944,10979
2010,Kansas,56386,625,1976,4892,10426,3728,6180,0,1780,3604,9330,3432,10413
2010,Kentucky,132252,1093,3336,6590,30718,9104,9766,603,4364,6898,32230,9488,18062
2010,Louisiana,134513,1054,6604,5158,26096,9054,8801,1670,4566,8286,31174,13228,18822
2010,Maine,27250,237,788,1097,6011,1596,2691,550,721,875,4607,1765,6312
2010,Maryland,98096,700,3449,3357,16479,6917,9559,783,3820,4942,23282,7445,17363
2010,Massachusetts,107161,273,3456,3898,18251,6446,12619,671,2910,4561,21129,7645,25302
2010,Michigan,211591,1670,6531,12128,41519,12352,18879,1459,7530,9832,44934,13335,41422
2010,Minnesota,67886,205,2825,3840,12790,4539,7680,1070,1690,3151,10728,4006,15362
2010,Mississippi,101384,71,5337,3434,22811,7973,7882,1128,2426,5575,22528,8868,13351
2010,Missouri,137028,472,3424,5664,28079,8793,13137,1260,3043,7160,31775,10317,23904
2010,Montana,23185,36,1230,1273,4237,1947,2951,158,1053,492,2984,1646,5178
2010,Nebraska,33128,162,1667,1818,6493,1995,3740,179,389,2060,5378,2055,7192
2010,Nevada,51021,144,1668,2614,11269,3522,5765,461,1959,2177,11810,3510,6122
2010,New Hampshire,20521,0,862,388,4434,726,3063,158,746,1505,3771,1314,3554
2010,New Jersey,149400,744,4725,7329,25272,8611,15276,1200,5970,6344,27530,11463,34936
2010,New Mexico,56726,467,1779,3405,12708,4052,6599,258,1729,1974,10171,4470,9114
2010,New York,333923,2203,9093,14869,55220,20361,38238,2072,8340,12408,64097,29652,77370
2010,North Carolina,236967,2510,6508,8582,51259,15987,19675,2641,7531,12993,50346,20142,38793
2010,North Dakota,11512,59,160,523,2009,1012,1407,0,620,309,1667,336,3410
2010,Ohio,236659,1509,8147,11434,45256,13853,23098,1125,5626,10745,52510,19942,43414
2010,Oklahoma,111113,339,3442,5548,26441,6368,9103,420,2941,7313,24444,7775,16979
2010,Oregon,95918,1269,3048,5971,20105,5006,9718,1472,2111,5663,19300,6443,15812
2010,Pennsylvania,249881,899,7905,10340,50796,13811,26795,1439,6209,9555,47522,19716,54894
2010,Rhode Island,20115,0,655,671,3853,925,1857,182,362,1795,5204,625,3986
2010,South Carolina,123362,655,2130,7591,27791,8407,11035,629,2605,5195,28186,11341,17797
2010,South Dakota,15127,0,545,953,2718,743,2382,179,496,379,2733,643,3356
2010,Tennessee,183518,834,5322,10025,41644,13222,15299,936,4311,9347,38826,14437,29315
2010,Texas,593757,3631,22413,36189,124315,40249,48846,3919,23074,30876,136427,44100,79718
2010,Utah,39179,849,2060,2192,6932,1675,4523,1191,2132,2671,5668,2518,6768
2010,Vermont,11553,206,404,274,2698,438,1514,0,219,1048,2004,514,2234
2010,Virginia,141771,1128,3172,5453,30947,8665,13848,1014,3798,6657,29611,11767,25711
2010,Washington,126616,824,5334,6558,22319,7584,11781,927,4326,6647,27173,9736,23407
2010,West Virginia,64624,41,1766,2715,15763,4628,4882,160,1819,1383,13864,6339,11264
2010,Wisconsin,88422,966,2126,4641,14919,5264,10955,1018,2926,5178,16567,5437,18425
2010,Wyoming,10859,0,278,832,1724,313,1687,70,425,195,2265,755,2315
2011,Alabama,140049,396,4738,6113,28652,9242,11136,388,3926,6317,34183,11953,23005
2011,Alaska,11337,202,392,367,2355,1432,1361,17,137,915,1908,906,1345
