year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2014,Alabama,AL,East South Central,South,4849377,2347969,2501408,38.6,high school graduate (includes equivalency),764407,42830,125600,717,190233,910175,714687,291541,0.4758,636593,4130790,460887,896114,934052,2208030,1982,2.634,1841217,1246080,595137,electricity,523139,1173097,7459
2014,Alaska,AK,Pacific,West,736732,385582,351150,33.3,some college or associate's degree,130264,71583,254500,1183,29164,80627,103179,25706,0.4175,81034,630507,57421,75107,118594,308571,1984,2.951,249659,156006,93653,utility gas,119714,30963,1924
2014,Arizona,AZ,Mountain,West,6731484,3342946,3388538,36.9,some college or associate's degree,1222292,50068,176700,916,247005,1199061,956507,319186,0.4676,1064278,5558796,855705,1162954,1383631,2909336,1989,2.772,2428743,1484857,943886,electricity,812510,1446705,40644
2014,Arkansas,AR,West South Central,South,2966369,1456778,1509591,37.8,high school graduate (includes equivalency),420958,41262,112500,683,91977,543882,413767,162566,0.4714,344496,2569880,255685,553110,698344,1341081,1983,2.622,1131288,744318,386970,electricity,454488,540491,2714
2014,California,CA,Pacific,West,38802500,19264457,19538043,36,bachelor's degree or higher,8136670,61933,412700,1268,1638567,6259098,4929106,1215985,0.489,4939924,33357533,3849783,5370026,8893603,13901594,1974,3.041,12758648,6855688,5902960,utility gas,8249834,3323498,450415
2014,Colorado,CO,Mountain,West,5355866,2692599,2663267,36.3,bachelor's degree or higher,1374212,61303,255200,1020,155638,630786,948014,180821,0.4584,747742,4518280,585703,732018,923438,2276280,1982,2.626,2039592,1302533,737059,utility gas,1445808,428152,7419
2014,Connecticut,CT,New England,Northeast,3596677,1754116,1842561,40.5,bachelor's degree or higher,940114,70048,267200,1076,154069,374772,628902,173126,0.5005,459958,3081324,327942,580387,680260,1493632,1964,2.653,1355817,900039,455778,"fuel oil, kerosene, etc.",464748,212031,3761
2014,Delaware,DE,South Atlantic,South,935614,454005,481609,39.6,high school graduate (includes equivalency),195881,59716,230500,1024,31847,113508,170546,45168,0.4494,136966,783964,98751,170976,173722,417413,1983,2.675,349743,245808,103935,utility gas,140922,117578,2247
2014,Florida,FL,South Atlantic,South,19893297,9722228,10171069,41.6,some college or associate's degree,3830504,47463,162700,1003,764681,3211615,2728967,1085932,0.4834,2981709,16601648,2282364,4083958,3574868,9144650,1985,2.715,7328046,4693821,2634225,electricity,324973,6769006,129623
2014,Georgia,GA,South Atlantic,South,10097343,4921939,5175404,36.1,bachelor's degree or higher,1910600,49321,147900,882,403398,1797969,1492541,561503,0.4801,1198912,8707966,896407,1450002,1771481,4151387,1988,2.815,3587521,2232553,1354968,electricity,1443221,1908078,14267
2014,Hawaii,HI,Pacific,West,1419561,717313,702248,38.1,some college or associate's degree,302339,69592,528000,1448,37885,156729,169261,52767,0.4325,182454,1185316,132562,233713,240847,530118,1978,3.149,450769,255375,195394,no fuel used,8653,128113,295557
2014,Idaho,ID,Mountain,West,1634464,817050,817414,35.9,some college or associate's degree,261522,47861,165300,755,42569,237981,264640,69813,0.4541,216959,1395930,164472,259848,257682,685098,1984,2.763,591587,402394,189193,utility gas,303196,194895,1352
2014,Illinois,IL,East North Central,North Central,12880580,6320605,6559975,37.5,bachelor's degree or higher,2833407,57444,171900,905,538437,1804535,2031234,652676,0.4765,1537400,11164993,1126999,1912465,2445295,5307508,1967,2.699,4772421,3125655,1646766,utility gas,3765279,725859,31419
2014,Indiana,IN,East North Central,North Central,6596855,3243979,3352876,37.4,high school graduate (includes equivalency),1070602,49446,124300,753,234575,974218,1145374,319564,0.4455,795531,5702498,576551,1067088,1033490,2829630,1973,2.636,2502739,1716341,786398,utility gas,1515413,710158,7838
2014,Iowa,IA,West North Central,North Central,3107126,1544801,1562325,38.2,some college or associate's degree,570426,53712,133100,711,73662,367816,534125,148202,0.4433,415956,2646944,311659,522869,530289,1362034,1967,2.503,1241471,879878,361593,utility gas,769215,264344,6089
2014,Kansas,KS,West North Central,North Central,2904021,1444945,1459076,36.2,some college or associate's degree,593084,52504,132100,773,76742,382712,445622,105827,0.4597,361247,2484167,270207,457532,403735,1248861,1972,2.618,1109280,739168,370112,utility gas,739570,248571,2491
2014,Kentucky,KY,East South Central,South,4413457,2174158,2239299,38.5,high school graduate (includes equivalency),659701,42958,123800,678,158108,817542,671840,299485,0.4704,594961,3733563,428603,801662,1030312,1950504,1978,2.578,1712094,1131197,580897,electricity,638201,883857,5532
2014,Louisiana,LA,West South Central,South,4649676,2272116,2377560,36.1,high school graduate (includes equivalency),701596,44555,143600,801,162602,896524,589089,269670,0.4902,522215,4025357,384834,737621,995134,2011037,1978,2.706,1718194,1106785,611409,electricity,596700,1064925,6067
2014,Maine,ME,New England,Northeast,1330089,647622,682467,44.1,high school graduate (includes equivalency),281781,49462,174800,776,40659,182791,244300,92714,0.4593,160072,1155924,111801,278134,275250,727693,1974,2.419,549841,392139,157702,"fuel oil, kerosene, etc.",37608,28040,1764
2014,Maryland,MD,South Atlantic,South,5976407,2896033,3080374,38.3,bachelor's degree or higher,1553684,73971,288500,1242,231268,589818,1048905,250157,0.4491,871190,5014657,628811,875751,1026767,2422317,1976,2.76,2165438,1426748,738690,utility gas,973472,858626,10446
2014,Massachusetts,MA,New England,Northeast,6745408,3269679,3475729,39.4,bachelor's degree or higher,1916729,69160,338900,1107,249791,757235,1092156,330851,0.4863,991151,5677197,733878,1082800,1520501,2828592,1959,2.646,2549336,1570332,979004,utility gas,1310713,371616,17918
2014,Michigan,MI,East North Central,North Central,9909877,4865257,5044620,39.6,some college or associate's degree,1827339,49847,125700,788,400797,1568844,1658889,619562,0.4598,1279979,8518642,831240,1784789,2016477,4540088,1969,2.584,3834574,2693284,1141290,utility gas,2942704,342353,17612
2014,Minnesota,MN,West North Central,North Central,5457173,2712823,2744350,37.8,bachelor's degree or higher,1258534,61481,188300,859,141188,611354,1019821,196307,0.4539,693778,4704433,518238,827645,894631,2385261,1975,2.563,2129195,1526406,602789,utility gas,1420749,341899,16629
2014,Mississippi,MS,East South Central,South,2994079,1457828,1536251,36.7,some college or associate's degree,410953,39680,104000,711,130935,623113,379452,198057,0.476,332423,2594665,245871,529957,709227,1294738,1982,2.732,1095823,741504,354319,electricity,339414,603699,3153
2014,Missouri,MO,West North Central,North Central,6063589,2970513,3093076,38.5,high school graduate (includes equivalency),1120711,48363,138500,754,204211,908628,988438,300928,0.4628,754525,5196081,547733,1075133,851286,2735803,1975,2.575,2354809,1575626,779183,utility gas,1210952,805368,8782
2014,Montana,MT,Mountain,West,1023579,513409,510170,39.6,some college or associate's degree,203839,46328,196800,711,25696,153954,150293,45809,0.4544,131103,877013,99685,189299,149941,491515,1977,2.491,410962,272856,138106,utility gas,221378,94131,1341
2014,Nebraska,NE,West North Central,North Central,1881503,936197,945306,36.2,some college or associate's degree,361769,52686,133800,742,42752,227310,298462,69443,0.4352,236900,1616784,180790,287988,243448,814957,1971,2.54,740765,488438,252327,utility gas,444310,219061,2244
2014,Nevada,NV,Mountain,West,2839099,1426744,1412355,37.4,some college or associate's degree,443463,51450,192100,955,127154,426730,374883,125987,0.4427,352612,2452920,267186,437426,460893,1198969,1994,2.779,1021519,547905,473614,utility gas,611388,351476,3586
2014,New Hampshire,NH,New England,Northeast,1326813,654814,671999,42.5,bachelor's degree or higher,326030,66532,236400,994,37863,117983,244440,41237,0.441,151526,1160395,103405,228227,144129,619865,1977,2.553,519756,364996,154760,"fuel oil, kerosene, etc.",100601,46268,4635
2014,New Jersey,NJ,Middle Atlantic,Northeast,8938175,4363391,4574784,39.4,bachelor's degree or higher,2291268,71919,313200,1202,355865,972903,1381794,294957,0.4757,1096285,7734684,776770,1379295,1358919,3591847,1966,2.798,3194844,2021062,1173782,utility gas,2393423,384329,13579
2014,New Mexico,NM,Mountain,West,2085572,1032779,1052793,37.2,some college or associate's degree,362934,44803,158400,777,83321,436153,286593,118280,0.477,243222,1807147,176412,364764,569340,912910,1981,2.741,760916,509151,251765,utility gas,506959,126923,1751
2014,New York,NY,Middle Atlantic,Northeast,19746227,9574309,10171918,38.2,bachelor's degree or higher,4667982,58878,279100,1148,731222,3062938,2407718,1135978,0.5111,2688920,16810628,2004343,3138240,4745925,8191528,1956,2.712,7282398,3857906,3424492,utility gas,4186666,770577,71456
2014,North Carolina,NC,South Atlantic,South,9943964,4842403,5101561,38.3,some college or associate's degree,1912564,46556,155000,803,404407,1668686,1569214,545796,0.4748,1228664,8523484,897965,1677347,1780517,4452464,1986,2.623,3790620,2435384,1355236,electricity,926794,2343976,17001
2014,North Dakota,ND,West North Central,North Central,739482,376324,363158,35.1,some college or associate's degree,131316,59029,161800,728,12130,82264,101271,25033,0.4664,100708,623743,78128,109144,84676,350534,1976,2.421,305431,195002,110429,electricity,121884,123672,3704
2014,Ohio,OH,East North Central,North Central,11594163,5676586,5917577,39.4,high school graduate (includes equivalency),2092218,49308,129100,735,420481,1785780,1919891,686590,0.4637,1378242,10042567,929145,1995686,2202314,5147282,1967,2.524,4593172,3000748,1592424,utility gas,3058773,1047130,21941
2014,Oklahoma,OK,West South Central,South,3878051,1920562,1957489,36.2,high school graduate (includes equivalency),611368,47529,119800,737,104334,623840,532133,201345,0.466,528751,3269215,400516,647135,662792,1699556,1977,2.657,1459759,950817,508942,utility gas,768244,546544,3716
2014,Oregon,OR,Pacific,West,3970239,1964293,2005946,39.3,some college or associate's degree,846246,51075,239800,924,153954,644450,616696,290484,0.4624,542988,3388318,394652,704087,897812,1700611,1977,2.586,1535511,932392,603119,electricity,580411,764501,7123
2014,Pennsylvania,PA,Middle Atlantic,Northeast,12787209,6253250,6533959,40.7,high school graduate (includes equivalency),2567725,53234,165400,848,457791,1682212,2061546,644930,0.4686,1736671,10846144,1256935,2328779,2126553,5590712,1961,2.585,4945972,3404164,1541808,utility gas,2528694,1087741,18026
2014,Rhode Island,RI,New England,Northeast,1055173,511650,543523,39.8,bachelor's degree or higher,220894,54891,236000,934,43662,145596,168376,71530,0.4827,136260,903529,99124,184895,225341,462630,1958,2.576,409654,240878,168776,utility gas,217810,39832,868
