year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2010,Alabama,AL,East South Central,South,4785298,2322243,2463055,37.8,high school graduate (includes equivalency),692695,40474,123900,667,NA,888290,774408,260140,0.472,514253,4188516,322861,797462,856202,2174428,1981,2.636,1815152,1272846,542306,electricity,560206,1081259,4135
2010,Alaska,AK,Pacific,West,713985,372436,341549,33.8,some college or associate's degree,125823,64576,241400,981,NA,69279,112659,26973,0.422,48565,640684,28373,60762,106094,307065,1982,2.804,254610,162785,91825,utility gas,121979,26546,822
2010,Arizona,AZ,Mountain,West,6413737,3190700,3223037,35.9,some college or associate's degree,1074035,46789,168800,844,NA,1094249,1065003,308610,0.455,751101,5559073,561392,972938,1285011,2846738,1988,2.748,2334050,1522938,811112,electricity,825209,1358732,21441
2010,Arkansas,AR,West South Central,South,2921606,1430837,1490769,37.3,high school graduate (includes equivalency),374018,38307,106300,638,NA,534898,433218,153012,0.458,275027,2592584,175939,513016,588128,1317818,1981,2.621,1114902,751568,363334,electricity,457999,505009,2367
2010,California,CA,Pacific,West,37349363,18570505,18778858,35.2,bachelor's degree or higher,7251271,57708,370900,1163,NA,5783043,5183554,918290,0.471,3233937,33581632,2246135,4621251,7051008,13682976,1973,3.01,12406475,6903175,5503300,utility gas,8289619,3042396,370500
2010,Colorado,CO,Mountain,West,5049071,2531362,2517709,36,bachelor's degree or higher,1211230,54046,236600,863,NA,659786,974765,153681,0.457,452386,4504487,314663,603236,638472,2214262,1981,2.575,1960585,1292792,667793,utility gas,1447926,350502,5434
2010,Connecticut,CT,New England,Northeast,3577073,1738918,1838155,40,bachelor's degree or higher,865299,64032,288800,992,NA,350145,660057,138205,0.486,335202,3184711,203261,534321,531410,1488215,1963,2.633,1358809,923617,435192,"fuel oil, kerosene, etc.",427850,203568,2519
2010,Delaware,DE,South Atlantic,South,899769,436608,463161,38.8,high school graduate (includes equivalency),167068,55847,243600,952,NA,103427,170847,37096,0.44,86932,798300,47639,145685,164687,406489,1981,2.737,328765,239884,88881,utility gas,132098,99495,848
2010,Florida,FL,South Atlantic,South,18843326,9212548,9630778,40.7,high school graduate (includes equivalency),3371251,44409,164200,947,NA,3047343,3064955,871694,0.474,2259464,16274617,1567622,3527170,2881765,8994091,1984,2.678,7035068,4794130,2240938,electricity,324544,6492160,92671
2010,Georgia,GA,South Atlantic,South,9712587,4742754,4969833,35.4,high school graduate (includes equivalency),1701758,46430,156200,819,NA,1688932,1639846,469338,0.468,927182,8592654,638457,1206649,1529357,4091482,1987,2.789,3482420,2304165,1178255,electricity,1439275,1781234,8807
2010,Hawaii,HI,Pacific,West,1363621,684087,679534,38.7,some college or associate's degree,273574,63030,525400,1291,NA,142185,175138,40594,0.433,149517,1166160,91853,206752,205281,519992,1977,3.059,445812,258533,187279,no fuel used,9045,140601,284546
2010,Idaho,ID,Mountain,West,1571450,787506,783944,34.7,some college or associate's degree,240928,43490,165100,683,NA,242272,275925,71990,0.433,157452,1394183,106700,223252,213097,668634,1982,2.725,576709,401532,175177,utility gas,301227,183522,1350
2010,Illinois,IL,East North Central,North Central,12843166,6294434,6548732,36.6,bachelor's degree or higher,2603917,52972,191800,848,NA,1731711,2223670,523580,0.465,1146908,11526337,748084,1725807,2180491,5297077,1966,2.702,4752857,3219338,1533519,utility gas,3817215,663759,16238
2010,Indiana,IN,East North Central,North Central,6490621,3197124,3293497,36.9,high school graduate (includes equivalency),959113,44613,123300,683,NA,962775,1218452,286289,0.44,612833,5778637,381156,944416,959593,2797172,1971,2.627,2470905,1736751,734154,utility gas,1527016,659543,5297
2010,Iowa,IA,West North Central,North Central,3049883,1505879,1544004,38.2,high school graduate (includes equivalency),503551,47961,123400,629,NA,370507,553055,132295,0.427,298242,2706643,193496,483058,464466,1337563,1965,2.493,1223439,885284,338155,utility gas,787742,220296,6477
2010,Kansas,KS,West North Central,North Central,2859169,1417134,1442035,36.2,some college or associate's degree,547888,48257,127300,682,NA,377530,480190,96281,0.445,254513,2549948,163049,413625,337951,1234037,1971,2.595,1101658,749907,351751,utility gas,763181,222889,1596
2010,Kentucky,KY,East South Central,South,4346266,2140493,2205773,38,high school graduate (includes equivalency),596383,40062,121600,613,NA,800226,717861,280171,0.466,398529,3844185,233365,710670,785514,1928617,1978,2.58,1684348,1156292,528056,electricity,655820,835138,2426
2010,Louisiana,LA,West South Central,South,4544228,2227014,2317214,35.9,high school graduate (includes equivalency),630895,42505,137500,736,NA,825144,637183,258527,0.475,401833,4038481,254908,657798,970170,1967947,1977,2.689,1689822,1141504,548318,electricity,629224,997933,3787
2010,Maine,ME,New England,Northeast,1327567,648889,678678,42.7,high school graduate (includes equivalency),250969,45815,179100,707,NA,167242,258025,88303,0.437,126548,1186489,82495,243454,300690,722217,1972,2.434,545417,396395,149022,"fuel oil, kerosene, etc.",23135,27813,1391
2010,Maryland,MD,South Atlantic,South,5785982,2799597,2986385,38,bachelor's degree or higher,1396843,68854,301400,1131,NA,557140,1090776,178730,0.443,543218,5144780,316607,750622,800920,2380605,1975,2.72,2127439,1426267,701172,utility gas,947948,832013,5992
2010,Massachusetts,MA,New England,Northeast,6557254,3170167,3387087,39.1,bachelor's degree or higher,1738899,62072,334100,1009,NA,725143,1132001,288633,0.475,713419,5764648,472661,959280,1305158,2808727,1958,2.602,2520419,1568382,952037,utility gas,1234502,341806,6722
2010,Michigan,MI,East North Central,North Central,9877574,4848760,5028814,39,some college or associate's degree,1655181,45413,123300,730,NA,1618257,1828046,641615,0.451,1021414,8742269,577664,1577137,1894719,4531231,1969,2.595,3806621,2769474,1037147,utility gas,2955744,284011,13641
2010,Minnesota,MN,West North Central,North Central,5310584,2635397,2675187,37.5,some college or associate's degree,1122836,55459,194300,764,NA,599516,1076735,158090,0.44,498294,4753798,322403,741042,745290,2348242,1974,2.539,2091548,1527328,564220,utility gas,1404878,312238,13127
2010,Mississippi,MS,East South Central,South,2970036,1441525,1528511,36.1,some college or associate's degree,371519,36851,100100,672,NA,643883,411111,177433,0.468,256580,2646327,165404,477802,673770,1276441,1981,2.75,1079999,753374,326625,electricity,347171,564029,2016
