year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2011,Alabama,AL,East South Central,South,4802740,2324413,2478327,38.1,high school graduate (includes equivalency),710532,41415,122700,687,259346,892483,769984,313871,0.4735,497703,4222364,305836,822093,865949,2182199,1981,2.604,1844546,1289217,555329,electricity,550050,1122217,4462
2011,Alaska,AK,Pacific,West,722718,372916,349802,33.9,some college or associate's degree,120461,67825,238300,1049,33367,73905,105715,26807,0.4099,49661,649611,28739,64733,115414,311182,1983,2.809,257330,162312,95018,utility gas,122456,30948,779
2011,Arizona,AZ,Mountain,West,6482505,3228514,3253991,36.2,some college or associate's degree,1119198,46709,153800,850,337217,1203501,1032658,325811,0.46,705788,5672492,518998,1012217,1316609,2864360,1988,2.751,2356055,1501528,854527,electricity,811728,1391980,24312
2011,Arkansas,AR,West South Central,South,2937979,1447850,1490129,37.5,high school graduate (includes equivalency),394820,38758,106300,639,127480,555876,441581,172475,0.4684,267996,2617216,170515,526241,613619,1324471,1982,2.605,1127621,750984,376637,electricity,464547,519261,1983
2011,California,CA,Pacific,West,37691912,18750692,18941220,35.4,bachelor's degree or higher,7406320,57287,355600,1174,2311055,6118803,5102167,1040799,0.4812,3253436,33908353,2259899,4732721,7320362,13721187,1974,3.023,12468743,6843369,5625374,utility gas,8259792,3180216,340060
2011,Colorado,CO,Mountain,West,5116796,2569136,2547660,36.2,bachelor's degree or higher,1243092,55387,233700,900,255244,674195,954994,164571,0.4588,471584,4553301,334746,632159,691332,2224661,1981,2.59,1975388,1271804,703584,utility gas,1436516,378790,5341
2011,Connecticut,CT,New England,Northeast,3580709,1743795,1836914,40.3,bachelor's degree or higher,884059,65753,278700,1021,206992,377856,644372,152131,0.4859,327068,3195641,197967,542760,574698,1494042,1964,2.649,1351643,911059,440584,"fuel oil, kerosene, etc.",437840,207267,2493
2011,Delaware,DE,South Atlantic,South,907135,439918,467217,39.1,high school graduate (includes equivalency),176243,58814,236900,960,41275,104831,166538,39761,0.4404,90919,801213,48105,150747,172403,409779,1981,2.723,333192,238560,94632,utility gas,134125,104516,677
2011,Florida,FL,South Atlantic,South,19057542,9321149,9736393,41.1,high school graduate (includes equivalency),3429229,44299,151000,949,1147856,3173456,2975808,1009671,0.4811,2262523,16489771,1580956,3637826,3097607,9027271,1985,2.682,7106283,4741169,2365114,electricity,312612,6587042,88842
2011,Georgia,GA,South Atlantic,South,9815210,4808996,5006214,35.5,high school graduate (includes equivalency),1738965,46007,147100,833,580555,1827743,1565587,528925,0.477,886888,8732852,597270,1255618,1581444,4103118,1987,2.809,3494542,2256703,1237839,electricity,1423322,1832835,10151
2011,Hawaii,HI,Pacific,West,1374810,688600,686210,38.5,some college or associate's degree,273274,61821,487400,1308,52276,161290,172002,48347,0.4301,147601,1178464,97034,211287,216235,522314,1978,3.065,448563,254700,193863,no fuel used,9513,144192,280430
2011,Idaho,ID,Mountain,West,1584985,794914,790071,35,some college or associate's degree,252095,43341,158800,689,75817,255027,268395,78411,0.432,144759,1420886,97891,229991,236591,674394,1983,2.732,580193,398816,181377,utility gas,293858,191360,1661
2011,Illinois,IL,East North Central,North Central,12869259,6309308,6559951,36.8,bachelor's degree or higher,2643864,53234,178500,859,734332,1879965,2170602,574248,0.4718,1190392,11497614,785771,1763445,2295477,5296209,1966,2.717,4737208,3190282,1546926,utility gas,3775580,691344,17280
2011,Indiana,IN,East North Central,North Central,6516922,3206430,3310492,37.1,high school graduate (includes equivalency),979216,46438,122400,707,326292,1011017,1184826,309162,0.4461,623869,5793775,392236,960050,999807,2800799,1972,2.642,2467111,1720062,747049,utility gas,1521983,667930,5670
