year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2008,Alabama,AL,East South Central,South,4661900,2258924,2402976,37.4,high school graduate (includes equivalency),677070,42666,121500,631,NA,712835,790154,186429,0.467,566372,4007813,NA,NA,NA,2158692,1979,2.567,1815865,1289155,526710,electricity,599466,1026372,3368
2008,Alaska,AK,Pacific,West,686293,357559,328734,33,some college or associate's degree,116034,68460,237800,949,NA,56396,108729,18421,0.403,55974,603110,NA,NA,NA,283403,1981,2.888,237607,154334,83273,utility gas,117543,21826,731
2008,Arizona,AZ,Mountain,West,6500180,3258694,3241486,35.1,some college or associate's degree,1052333,50958,229200,866,NA,938924,1099783,187331,0.453,747970,5654816,NA,NA,NA,2722712,1986,2.859,2273842,1548890,724952,electricity,825454,1301480,17855
2008,Arkansas,AR,West South Central,South,2855390,1398560,1456830,37.3,high school graduate (includes equivalency),351940,38815,105700,606,NA,480551,442960,140207,0.459,298073,2503555,NA,NA,NA,1298176,1979,2.563,1114041,750639,363402,utility gas,490166,467116,1480
2008,California,CA,Pacific,West,36756666,18383523,18373143,34.9,some college or associate's degree,6962126,61021,467000,1135,NA,4778118,5290276,623373,0.473,3640776,32519824,NA,NA,NA,13394143,1973,3.019,12176760,6946432,5230328,utility gas,8250001,2869006,378083
2008,Colorado,CO,Mountain,West,4939456,2487842,2451614,35.8,bachelor's degree or higher,1161467,56993,242200,848,NA,552889,978201,96048,0.457,495890,4357514,NA,NA,NA,2152124,1979,2.603,1897835,1280814,617021,utility gas,1450705,293871,5202
2008,Connecticut,CT,New England,Northeast,3501252,1709297,1791955,39.3,bachelor's degree or higher,841910,68595,306000,970,NA,314806,665816,87443,0.486,398784,3042060,NA,NA,NA,1443192,1963,2.634,1329305,917062,412243,"fuel oil, kerosene, etc.",412322,195373,2295
2008,Delaware,DE,South Atlantic,South,873092,422659,450433,38.3,high school graduate (includes equivalency),159978,57989,250900,917,NA,85094,166894,24064,0.447,90792,765339,NA,NA,NA,392967,1979,2.657,328654,241544,87110,utility gas,130794,92745,732
2008,Florida,FL,South Atlantic,South,18328340,8996705,9331635,40.3,high school graduate (includes equivalency),3278447,47778,218700,947,NA,2370808,3202449,507031,0.471,2315518,15680325,NA,NA,NA,8798213,1984,2.597,7057285,4916497,2140788,electricity,319945,6484079,112327
2008,Georgia,GA,South Atlantic,South,9685744,4767677,4918067,35,high school graduate (includes equivalency),1702466,50861,169100,787,NA,1380842,1702307,320926,0.467,1016109,8457332,NA,NA,NA,4026181,1985,2.791,3469845,2340305,1129540,electricity,1543874,1642969,7399
2008,Hawaii,HI,Pacific,West,1288198,649535,638663,38.3,some college or associate's degree,254173,67214,560200,1298,NA,115131,176603,31359,0.428,146327,1090338,NA,NA,NA,512842,1976,2.947,437105,258365,178740,no fuel used,8739,160519,254141
2008,Idaho,ID,Mountain,West,1523816,766323,757493,34.4,some college or associate's degree,230157,47576,183700,690,NA,187805,281266,43209,0.419,146751,1352036,NA,NA,NA,641543,1980,2.692,566004,401098,164906,utility gas,285735,188088,974
2008,Illinois,IL,East North Central,North Central,12901564,6353674,6547890,36,bachelor's degree or higher,2507694,56235,214900,811,NA,1532238,2322217,414320,0.467,1266443,11442869,NA,NA,NA,5276082,1965,2.707,4766252,3301796,1464456,utility gas,3877323,624319,13456
2008,Indiana,IN,East North Central,North Central,6376792,3136086,3240706,36.8,high school graduate (includes equivalency),956371,47966,125200,670,NA,807506,1263339,227061,0.437,668075,5603109,NA,NA,NA,2795063,1971,2.571,2480570,1781719,698851,utility gas,1577328,612925,5377
2008,Iowa,IA,West North Central,North Central,3002557,1480463,1522094,38.2,high school graduate (includes equivalency),480240,48980,120700,607,NA,334919,565396,108318,0.428,325036,2626432,NA,NA,NA,1328740,1964,2.471,1215351,885884,329467,utility gas,795465,197029,4926
