year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2017,Alabama,AL,East South Central,South,4874747,2359896,2514851,38.9,high school graduate (includes equivalency),844704,48123,141300,750,128302,802656,706185,258110,0.4768,722029,4071483,525794,971615,982608,2258669,1983,2.647,1841665,1253199,588466,electricity,494568,1213135,6403
2017,Alaska,AK,Pacific,West,739795,385776,354019,34.5,some college or associate's degree,138684,73181,273100,1201,28267,80012,102297,27090,0.4241,98179,617999,69645,86745,162609,316968,1984,2.95,250741,159344,91397,utility gas,120375,33262,2182
2017,Arizona,AZ,Mountain,West,7016270,3487722,3528548,37.7,some college or associate's degree,1383092,56581,223400,1020,192721,1018935,1064351,276388,0.4668,1247060,5661061,1006276,1292196,1554419,2999185,1990,2.748,2552972,1652321,900651,electricity,830017,1560459,20537
2017,Arkansas,AR,West South Central,South,3004279,1479682,1524597,38.1,high school graduate (includes equivalency),470114,45869,128500,711,76495,478365,416168,136635,0.4725,413840,2535465,315816,601979,806358,1370109,1985,2.605,1153082,752399,400683,electricity,440170,591893,2454
2017,California,CA,Pacific,West,39536653,19650051,19886602,36.5,bachelor's degree or higher,8976247,71805,509400,1447,1178551,5160208,5026144,1155077,0.4866,5973969,33072866,4760457,5887168,10382702,14177270,1975,3.04,13005097,7125090,5880007,utility gas,8370720,3452150,409471
2017,Colorado,CO,Mountain,West,5607154,2820169,2786985,36.8,bachelor's degree or higher,1574697,69117,348900,1240,127259,564312,994409,162490,0.4553,912962,4601108,726801,830007,1077943,2385495,1984,2.621,2139207,1394824,744383,utility gas,1483056,483786,9703
2017,Connecticut,CT,New England,Northeast,3588184,1750647,1837537,40.9,bachelor's degree or higher,964607,74168,273100,1125,117360,334128,611242,163472,0.4943,539500,2997022,383773,627833,723997,1517495,1964,2.645,1356762,898234,458528,"fuel oil, kerosene, etc.",478136,219208,4244
2017,Delaware,DE,South Atlantic,South,961939,465510,496429,40.1,high school graduate (includes equivalency),212083,62852,252800,1086,24300,126986,164071,37164,0.4811,134113,813146,89516,189955,175257,432853,1984,2.687,357937,253948,103989,utility gas,156142,123152,1530
2017,Florida,FL,South Atlantic,South,20984400,10254267,10730133,42,some college or associate's degree,4454492,52594,214000,1128,552245,2889506,2850011,1042265,0.4859,3520363,17158341,2749472,4493924,3850108,9441585,1986,2.729,7689964,5010187,2679777,electricity,351403,7100222,141623
2017,Georgia,GA,South Atlantic,South,10429379,5070721,5358658,36.8,bachelor's degree or higher,2131478,56183,173700,958,296040,1517702,1529558,470762,0.483,1401344,8840250,1050039,1591311,1780476,4282254,1989,2.785,3745074,2354922,1390152,electricity,1470240,2050296,15414
2017,Hawaii,HI,Pacific,West,1427538,716350,711188,39.2,bachelor's degree or higher,328680,77765,617400,1573,29762,132549,172214,48954,0.4455,225350,1147852,162897,255189,245341,542955,1979,3.116,458078,268078,190000,no fuel used,10364,130309,291962
2017,Idaho,ID,Mountain,West,1716943,862720,854223,36.3,some college or associate's degree,297658,52225,207100,822,34000,216309,280297,60914,0.4478,245313,1449960,187855,294931,305690,721818,1988,2.747,625135,435493,189642,utility gas,329995,204963,2130
2017,Illinois,IL,East North Central,North Central,12802023,6294900,6507123,38,bachelor's degree or higher,2997805,62992,195300,974,407967,1569753,2007439,618363,0.4818,1713084,10907042,1279391,2048779,2521174,5359416,1968,2.662,4808672,3182232,1626440,utility gas,3728718,801287,29317
2017,Indiana,IN,East North Central,North Central,6666818,3286152,3380666,37.7,high school graduate (includes equivalency),1189458,54181,141100,793,158556,871247,1156805,237307,0.4497,941833,5626601,704377,1141489,1181435,2885342,1974,2.607,2557299,1765500,791799,utility gas,1525035,764022,9032
2017,Iowa,IA,West North Central,North Central,3145711,1562265,1583446,38.3,some college or associate's degree,605820,58570,149100,760,60190,326636,554182,120558,0.4381,430396,2671783,320098,551800,561524,1397739,1968,2.502,1257505,900362,357143,utility gas,777947,277510,7032
2017,Kansas,KS,West North Central,North Central,2913123,1452573,1460550,36.7,bachelor's degree or higher,642742,56422,150600,815,63084,336487,438620,86591,0.4539,385671,2469783,291562,483676,401259,1273776,1973,2.58,1128983,743508,385475,utility gas,742848,280820,3115
2017,Kentucky,KY,East South Central,South,4454189,2194850,2259339,38.9,high school graduate (includes equivalency),723552,48375,141000,724,115271,744239,667936,242950,0.4784,624514,3746426,447245,852595,1179427,1984235,1980,2.582,1725034,1146668,578366,electricity,643422,901970,5515
2017,Louisiana,LA,West South Central,South,4684333,2289695,2394638,36.8,high school graduate (includes equivalency),742525,46145,162500,836,141608,899039,596545,285732,0.4935,577457,4002801,432616,795538,1306833,2061582,1979,2.697,1737123,1132229,604894,electricity,570226,1113152,5550
